1993,2000,2002,2004,2006,2010,2012
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW33)","AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24)","AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)","AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)"
