,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",2.30,0.06,1.92,0.07,1.33,0.72,0.49,0.06,0.36,0.51,-0.31,-0.34,-0.83,-1.06,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",2.22,0.06,1.89,0.07,1.33,0.53,0.53,0.14,0.47,0.69,-0.51,-0.41,-0.86,-0.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",2.51,0.06,1.94,0.07,1.29,0.69,0.44,0.30,0.24,0.43,0.04,-0.73,-0.47,-1.30,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",2.04,0.06,1.89,0.07,1.29,0.80,0.11,-0.05,0.65,0.43,-0.20,-0.08,-1.16,-0.85,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",2.25,0.06,1.92,0.07,1.26,0.61,0.84,0.36,0.27,0.27,-0.20,-0.52,-0.88,-1.09,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",2.03,0.05,1.54,0.07,1.24,0.47,0.56,0.50,0.72,0.07,-0.34,-0.77,-0.12,-0.87,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",1.99,0.05,1.88,0.07,1.23,0.86,0.57,0.08,0.30,0.54,-0.38,-0.38,-1.03,-0.84,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",2.15,0.06,1.91,0.07,1.22,0.63,0.68,0.16,1.11,0.13,-0.46,-0.72,-0.79,-1.02,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",1.86,0.05,1.86,0.07,1.20,0.96,0.42,-0.07,0.62,0.10,-0.12,-0.55,-0.91,-0.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",1.89,0.05,1.88,0.07,1.20,0.93,0.33,0.39,0.54,0.17,-0.07,-0.96,-0.82,-0.79,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",1.80,0.05,1.62,0.08,1.17,0.73,0.55,-0.01,0.33,0.36,-0.17,-0.88,-0.51,-0.72,0.85
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",1.57,0.04,1.49,0.07,1.14,0.60,0.63,0.07,0.19,0.37,-0.19,-0.32,-0.50,-0.50,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",1.99,0.05,1.57,0.08,1.13,0.54,0.35,0.29,0.31,0.36,-0.06,-0.76,-0.27,-0.94,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",2.07,0.06,1.90,0.07,1.13,0.89,0.52,0.30,0.42,0.26,0.13,-0.83,-0.84,-1.04,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",2.03,0.06,1.93,0.07,1.11,0.95,0.30,-0.06,0.22,0.60,-0.23,-0.09,-0.87,-1.02,#N/A
IQS Rank,2.50,0.05,1.45,0.08,1.10,0.97,0.70,0.45,0.36,0.18,0.36,0.27,-0.63,-1.50,-1.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",2.13,0.06,1.95,0.07,1.08,0.80,0.70,-0.12,0.44,0.24,0.07,-0.24,-0.90,-1.13,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",1.79,0.05,1.57,0.07,1.06,1.04,0.25,0.27,0.65,0.33,-0.56,-0.39,-0.38,-0.80,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",1.51,0.05,1.60,0.07,1.06,0.59,0.43,0.33,0.60,0.26,-0.21,-0.48,-0.60,-0.53,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",1.54,0.05,1.55,0.07,1.03,0.60,0.25,0.26,0.63,-0.01,0.25,-0.65,-0.30,-0.57,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",1.86,0.05,1.67,0.07,1.03,0.88,0.18,0.34,0.30,0.37,-0.16,-0.66,-0.54,-0.91,0.85
