,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",1.64,0.05,1.63,0.07,1.01,0.63,0.33,0.60,0.22,0.36,0.09,-0.66,-0.42,-0.69,-2.40
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",1.89,0.06,1.94,0.07,1.00,0.86,0.71,0.19,0.55,-0.22,0.36,-0.54,-1.01,-0.99,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",1.75,0.06,1.89,0.07,1.00,0.73,0.66,0.13,0.37,0.23,-0.13,-0.22,-0.98,-0.84,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",1.79,0.05,1.58,0.07,0.96,0.58,0.28,0.37,0.17,0.50,-0.04,-0.35,-0.63,-0.93,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",1.63,0.06,1.94,0.07,0.94,0.90,0.47,0.55,0.39,0.46,-0.24,-0.44,-1.34,-0.78,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",1.60,0.05,1.58,0.08,0.94,0.87,0.05,0.16,0.36,0.13,-0.01,-0.12,-0.83,-0.74,0.85
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",1.49,0.06,1.90,0.07,0.89,1.05,0.45,0.23,0.44,0.39,-0.19,-0.42,-1.24,-0.69,#N/A
AFG Investment Grade,1.31,0.03,0.86,0.05,0.89,0.41,0.24,-0.08,-0.46,#N/A,#N/A,#N/A,#N/A,#N/A,-1.32
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",1.62,0.06,1.91,0.06,0.88,1.05,0.47,0.24,0.34,0.28,-0.21,-0.34,-0.95,-0.83,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",1.70,0.06,1.90,0.07,0.87,1.00,0.38,0.05,0.29,0.19,0.27,-0.15,-1.07,-0.92,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",1.48,0.05,1.72,0.07,0.82,0.84,0.51,0.22,0.16,0.40,-0.17,-0.15,-1.04,-0.73,0.85
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",1.48,0.05,1.63,0.07,0.80,0.63,0.69,-0.09,0.02,0.48,0.00,-0.15,-0.76,-0.76,0.85
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",1.70,0.06,1.92,0.07,0.76,0.89,0.86,0.08,0.36,0.51,-0.12,-0.48,-0.90,-1.05,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",1.69,0.04,1.52,0.07,0.74,0.94,-0.07,0.93,0.51,0.16,-0.25,-0.42,-0.58,-1.04,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",1.37,0.05,1.68,0.07,0.70,0.77,0.87,0.03,0.23,0.19,-0.17,-0.30,-0.71,-0.75,0.85
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",1.57,0.05,1.61,0.07,0.65,0.91,0.32,0.30,0.16,0.38,-0.28,0.00,-0.52,-1.01,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",1.45,0.05,1.89,0.07,0.63,1.28,0.53,0.32,0.18,0.09,0.04,-0.30,-0.90,-0.92,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",1.32,0.04,1.50,0.07,0.63,0.83,0.56,0.22,0.40,0.25,0.12,-0.54,-0.74,-0.78,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",1.37,0.05,1.61,0.07,0.58,1.13,0.02,0.43,0.31,0.38,-0.04,-0.43,-0.58,-0.88,3.13
% Tgt +3 SectRank,1.08,0.03,1.07,0.06,0.56,0.38,0.45,0.32,0.35,0.60,0.37,-0.47,-0.03,-0.57,-1.70
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",1.18,0.05,1.55,0.07,0.44,0.91,0.39,0.45,0.40,0.38,0.12,-0.65,-0.70,-0.81,3.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",1.04,0.04,1.52,0.07,0.42,0.74,0.59,0.09,0.86,-0.03,-0.04,-0.31,-0.71,-0.71,3.13
% Tgt +0,0.35,0.03,0.86,0.07,0.36,-0.08,-0.05,0.57,-0.08,0.15,0.99,0.64,-0.38,-0.10,-1.72
RONA,0.24,0.03,0.83,0.06,0.17,-0.08,0.31,0.31,0.15,0.55,0.52,0.11,0.12,-0.18,-1.32
POE Screen,-1.12,0.03,1.01,0.06,0.06,1.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.81
% Tgt Average,0.36,0.03,0.87,0.07,0.00,0.30,0.13,0.29,0.79,0.47,0.09,0.63,-0.14,-0.46,-1.42
EBITDA/EV,-0.59,0.03,1.02,0.09,-0.36,0.29,0.20,0.62,0.41,-0.12,-0.02,-1.59,-0.20,-0.03,0.53
