,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",20.14,0.23,7.94,0.17,6.27,4.41,4.21,3.81,3.11,1.07,0.02,-2.54,-5.96,-17.08,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",20.14,0.23,7.94,0.17,6.27,4.41,4.21,3.81,3.11,1.07,0.02,-2.54,-5.96,-17.08,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",16.67,0.18,6.23,0.12,6.02,4.15,4.09,2.60,2.26,1.67,-0.49,-2.30,-4.59,-11.97,-20.04
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",16.67,0.18,6.23,0.12,6.02,4.15,4.09,2.60,2.26,1.67,-0.49,-2.30,-4.59,-11.97,-20.04
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",19.73,0.23,7.98,0.17,5.97,4.80,3.70,3.77,2.92,1.89,0.17,-2.78,-6.11,-17.19,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",19.73,0.23,7.98,0.17,5.97,4.80,3.70,3.77,2.92,1.89,0.17,-2.78,-6.11,-17.19,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",18.88,0.22,7.51,0.16,5.96,4.64,3.85,3.30,3.02,1.33,-0.64,-2.33,-6.00,-15.42,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",18.88,0.22,7.51,0.16,5.96,4.64,3.85,3.30,3.02,1.33,-0.64,-2.33,-6.00,-15.42,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",18.60,0.21,7.20,0.15,5.91,4.13,3.57,3.89,3.01,0.92,-0.36,-2.49,-5.76,-15.02,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",19.74,0.22,7.61,0.16,5.91,4.41,3.79,4.15,2.90,1.94,-0.47,-1.85,-6.37,-16.94,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",19.74,0.22,7.61,0.16,5.91,4.41,3.79,4.15,2.90,1.94,-0.47,-1.85,-6.37,-16.94,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",18.50,0.21,7.20,0.15,5.86,4.17,3.49,3.98,2.93,0.98,-0.38,-2.48,-5.78,-14.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",18.92,0.22,7.65,0.17,5.83,4.82,4.00,3.03,2.92,1.77,-0.25,-2.94,-5.80,-15.85,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",18.92,0.22,7.65,0.17,5.83,4.82,4.00,3.03,2.92,1.77,-0.25,-2.94,-5.80,-15.85,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",18.75,0.21,7.37,0.16,5.83,4.32,3.68,3.22,3.23,1.45,-0.14,-2.85,-5.59,-15.58,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",18.75,0.21,7.37,0.16,5.83,4.32,3.68,3.22,3.23,1.45,-0.14,-2.85,-5.59,-15.58,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",18.61,0.21,7.25,0.15,5.77,4.61,3.59,3.28,3.24,1.28,-0.11,-2.40,-6.22,-15.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",18.60,0.21,7.25,0.15,5.76,4.62,3.64,3.18,3.30,1.24,-0.09,-2.37,-6.24,-15.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",16.83,0.20,6.65,0.14,5.74,4.33,3.83,2.87,2.76,1.29,-0.06,-2.64,-5.49,-12.83,-17.59
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",16.83,0.20,6.65,0.14,5.74,4.33,3.83,2.87,2.76,1.29,-0.06,-2.64,-5.49,-12.83,-17.59
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",18.09,0.21,7.14,0.16,5.73,3.75,4.04,3.03,2.29,2.26,0.25,-2.47,-6.10,-15.29,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",18.09,0.21,7.14,0.16,5.73,3.75,4.04,3.03,2.29,2.26,0.25,-2.47,-6.10,-15.29,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",18.34,0.20,6.91,0.14,5.58,4.72,3.50,3.15,2.88,1.77,0.70,-2.56,-5.35,-14.91,-17.68
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",18.34,0.20,6.91,0.14,5.58,4.72,3.50,3.15,2.88,1.77,0.70,-2.56,-5.35,-14.91,-17.68
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",18.01,0.20,6.91,0.14,5.55,4.16,3.06,3.76,2.85,1.36,-0.19,-2.22,-5.46,-15.17,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",18.01,0.20,6.91,0.14,5.55,4.16,3.06,3.76,2.85,1.36,-0.19,-2.22,-5.46,-15.17,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",17.77,0.19,6.57,0.13,5.55,5.14,3.64,3.19,2.18,2.04,0.02,-1.85,-4.69,-14.10,-20.05
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",17.77,0.19,6.57,0.13,5.55,5.14,3.64,3.19,2.18,2.04,0.02,-1.85,-4.69,-14.10,-20.05
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",18.65,0.21,7.40,0.16,5.53,4.59,3.89,3.46,2.78,2.08,-0.27,-2.67,-6.04,-15.73,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",18.65,0.21,7.40,0.16,5.53,4.59,3.89,3.46,2.78,2.08,-0.27,-2.67,-6.04,-15.73,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",19.14,0.22,7.67,0.17,5.47,4.81,3.60,3.86,3.28,2.04,-0.11,-2.36,-6.44,-16.87,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",19.14,0.22,7.67,0.17,5.47,4.81,3.60,3.86,3.28,2.04,-0.11,-2.36,-6.44,-16.87,#N/A
% Tgt +0,16.02,0.17,5.59,0.11,5.44,3.52,3.43,2.82,1.99,2.04,1.01,-0.80,-3.80,-12.04,-5.61
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",17.68,0.20,6.82,0.15,5.39,3.66,3.58,3.53,2.32,2.39,0.09,-2.35,-6.01,-15.00,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",17.68,0.20,6.82,0.15,5.39,3.66,3.58,3.53,2.32,2.39,0.09,-2.35,-6.01,-15.00,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",17.85,0.19,6.57,0.14,5.29,3.73,3.15,3.94,2.61,1.77,-0.20,-2.01,-5.36,-15.15,-18.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",17.85,0.19,6.57,0.14,5.29,3.73,3.15,3.94,2.61,1.77,-0.20,-2.01,-5.36,-15.15,-18.37
IQS Rank,13.53,0.15,4.75,0.14,4.70,4.02,3.80,2.72,2.58,1.89,-0.03,-0.48,-3.29,-10.22,-5.38
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",15.50,0.16,5.30,0.12,4.28,3.42,3.41,3.21,2.13,1.89,0.58,-0.57,-3.91,-13.11,-17.94
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",15.50,0.16,5.30,0.12,4.28,3.42,3.41,3.21,2.13,1.89,0.58,-0.57,-3.91,-13.11,-17.94
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",15.85,0.17,5.79,0.14,4.09,3.85,2.98,3.19,2.46,2.19,1.41,-2.42,-4.27,-14.02,-14.86
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",15.85,0.17,5.79,0.14,4.09,3.85,2.98,3.19,2.46,2.19,1.41,-2.42,-4.27,-14.02,-14.86
AFG Investment Grade,7.63,0.10,3.17,0.09,3.73,2.31,1.21,-0.34,-4.18,#N/A,#N/A,#N/A,#N/A,#N/A,-5.71
EBITDA/EV,9.90,0.15,4.08,0.18,2.35,2.77,2.63,2.85,1.04,1.05,0.48,-0.51,-4.86,-10.48,0.16
% Tgt +3 SectRank,8.23,0.08,2.63,0.08,0.91,2.74,2.58,2.77,2.35,2.22,1.43,-0.15,-2.47,-7.73,-5.87
 Sector    Name,-1.86,#N/A,#N/A,#N/A,0.64,1.60,2.18,4.03,-1.01,-0.01,-8.27,0.05,-19.30,1.37,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.04
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.04
