,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",4.14,0.06,2.19,0.09,0.97,0.80,0.77,0.61,0.29,0.21,0.65,-0.71,-1.45,-3.33,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",4.96,0.08,2.57,0.11,0.95,1.09,0.70,0.94,0.64,0.40,0.11,-0.84,-0.95,-4.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",3.95,0.07,2.46,0.10,0.92,0.70,1.25,0.59,0.99,0.29,-0.32,-0.69,-1.32,-3.19,-5.66
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",4.40,0.07,2.43,0.10,0.90,0.78,1.03,0.87,0.03,0.77,0.07,-0.84,-1.15,-3.64,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",4.72,0.07,2.53,0.10,0.90,0.60,0.89,0.82,0.86,0.45,-0.17,-0.75,-0.83,-3.99,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",3.99,0.08,2.59,0.11,0.85,0.60,1.04,1.15,0.57,0.50,-0.57,-0.28,-1.72,-3.37,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",4.82,0.08,2.58,0.11,0.85,0.29,0.78,1.19,0.65,0.98,-0.52,-0.39,-0.90,-4.21,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",4.15,0.07,2.44,0.10,0.85,0.81,0.81,0.70,0.56,0.75,-0.07,-0.71,-1.43,-3.42,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",3.99,0.07,2.22,0.09,0.84,0.78,0.65,0.92,0.54,0.22,0.16,-0.60,-1.38,-3.27,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",4.07,0.07,2.45,0.10,0.80,0.74,0.88,1.09,0.30,0.45,-0.15,-0.33,-1.57,-3.39,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",3.68,0.07,2.46,0.10,0.80,0.97,1.16,1.41,0.37,0.07,-0.27,-0.93,-1.10,-3.02,-4.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",3.74,0.07,2.24,0.09,0.80,0.69,1.36,0.45,0.72,0.33,-0.41,-0.47,-1.05,-3.04,-5.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",4.40,0.07,2.52,0.11,0.79,0.27,0.87,1.25,0.74,0.31,0.45,-0.78,-1.34,-3.78,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",4.75,0.08,2.62,0.11,0.76,0.18,0.64,1.25,1.18,0.48,-0.05,-0.42,-1.08,-4.21,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",4.37,0.08,2.63,0.11,0.76,0.54,1.52,0.73,0.85,0.39,-0.33,-0.46,-1.45,-3.81,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",4.44,0.07,2.54,0.11,0.75,0.25,0.94,1.12,1.18,0.22,-0.01,-0.58,-1.25,-3.87,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",4.14,0.07,2.21,0.09,0.75,0.42,1.06,1.24,0.59,-0.04,0.02,-0.85,-0.84,-3.53,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",3.93,0.07,2.34,0.10,0.73,0.49,1.22,0.72,0.46,0.86,-0.50,-0.33,-0.98,-3.37,-5.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",3.86,0.07,2.22,0.09,0.66,0.61,1.09,1.03,0.34,0.29,0.03,-0.71,-1.23,-3.31,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",4.72,0.08,2.58,0.12,0.66,0.41,0.74,0.77,1.35,1.20,-0.48,-0.86,-0.75,-4.33,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",3.95,0.07,2.44,0.10,0.66,0.84,1.01,0.64,0.73,0.27,0.05,-0.27,-1.67,-3.44,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",4.00,0.07,2.34,0.10,0.65,0.26,1.03,0.94,1.11,0.29,-0.18,-0.55,-1.27,-3.48,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",4.04,0.07,2.33,0.10,0.64,0.00,1.39,1.13,0.96,0.18,-0.16,-0.44,-1.35,-3.59,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",4.10,0.07,2.51,0.11,0.64,0.34,0.81,1.18,1.19,0.03,0.04,-0.20,-1.63,-3.68,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",4.40,0.07,2.30,0.10,0.61,-0.14,0.78,1.89,1.33,-0.27,0.10,-1.08,-0.46,-3.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",4.76,0.08,2.62,0.12,0.59,0.31,1.03,1.15,0.90,0.72,-0.03,-0.24,-1.24,-4.43,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",4.06,0.07,2.32,0.10,0.59,0.10,1.06,1.26,0.89,0.43,-0.30,-0.95,-0.68,-3.61,#N/A
% Tgt +3 SectRank,2.89,0.06,1.96,0.06,0.56,1.16,1.15,1.23,0.19,0.69,-0.37,-0.65,-1.00,-2.47,-2.59
 Sector    Name,0.04,#N/A,#N/A,#N/A,0.48,-1.76,0.96,-1.14,-0.14,0.06,-0.34,2.36,-1.79,-0.65,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",4.19,0.07,2.52,0.12,0.45,0.40,1.03,1.29,0.71,0.61,-0.14,-0.58,-1.06,-3.95,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",3.33,0.07,2.32,0.10,0.31,1.00,0.88,1.10,0.89,0.03,-0.25,0.01,-1.33,-3.19,-3.77
RONA,1.19,0.05,1.73,0.14,0.15,0.00,1.05,0.13,0.44,0.88,-0.68,0.45,-0.88,-1.40,-2.03
POE Screen,-0.86,0.03,0.79,0.06,-0.05,0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.25
IQS Rank,0.92,0.03,1.08,0.10,-0.27,0.38,0.70,0.07,0.60,0.87,0.09,-0.29,-1.03,-1.34,-1.14
EBITDA/EV,0.99,0.04,1.05,0.06,-0.34,0.89,0.34,1.73,2.06,1.04,-0.77,1.26,-1.18,-1.39,-1.26
