,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
% Tgt +0,5.18,0.08,2.68,0.09,1.98,1.03,1.63,0.69,-0.05,0.00,-0.21,-0.14,-1.30,-3.45,-2.59
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",4.82,0.07,2.46,0.09,1.50,0.97,0.73,0.92,0.75,0.19,-0.31,-0.33,-1.45,-3.44,-4.13
AFG Investment Grade,2.64,0.05,1.57,0.05,1.47,0.81,0.08,-0.45,-1.21,#N/A,#N/A,#N/A,#N/A,#N/A,-2.19
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",4.40,0.07,2.38,0.09,1.38,0.53,1.05,0.94,0.23,0.43,-0.10,-0.90,-1.15,-3.12,-5.66
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",4.19,0.07,2.35,0.09,1.38,1.28,0.54,0.73,0.27,0.78,-0.39,-0.63,-1.56,-2.91,-4.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",4.47,0.07,2.53,0.10,1.23,0.71,0.72,0.75,0.47,1.23,-0.60,-0.30,-1.58,-3.43,-5.66
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",4.65,0.08,2.55,0.10,1.22,0.66,0.76,1.10,0.89,0.31,-0.35,-0.20,-1.28,-3.62,-4.13
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",4.15,0.07,2.55,0.10,1.16,0.63,1.24,0.70,0.79,-0.29,-0.18,-0.09,-2.01,-3.14,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",4.39,0.07,2.55,0.10,1.15,0.95,1.35,0.62,0.31,-0.23,0.43,-0.66,-1.71,-3.37,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",5.14,0.07,2.55,0.10,1.12,0.37,0.63,1.38,0.44,0.86,-0.23,-0.64,-0.97,-4.19,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",4.61,0.07,2.47,0.09,1.08,1.25,0.97,0.41,0.63,0.33,0.20,-0.60,-1.34,-3.65,-5.66
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",3.80,0.06,2.17,0.09,1.06,0.72,0.61,0.94,1.12,-0.34,0.16,-0.64,-1.28,-2.85,-3.77
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.80,0.07,2.55,0.11,1.01,0.60,0.96,0.85,0.80,0.57,-0.30,-0.63,-1.08,-4.02,#N/A
