,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",5.21,0.09,3.11,0.09,2.20,1.76,0.89,0.59,-0.02,0.07,-0.73,-0.76,-1.74,-3.15,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",5.38,0.09,3.05,0.09,2.17,2.17,0.84,0.27,-0.35,0.21,-0.63,-1.42,-0.77,-3.40,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",5.38,0.09,3.05,0.09,2.17,2.17,0.84,0.27,-0.35,0.21,-0.63,-1.42,-0.77,-3.40,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",4.98,0.09,2.96,0.09,2.15,1.96,0.76,0.44,-0.04,-0.22,-0.77,-0.69,-1.55,-2.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",4.99,0.09,2.96,0.09,2.15,1.95,0.81,0.39,-0.04,-0.22,-0.77,-0.75,-1.47,-2.99,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",5.34,0.09,3.17,0.09,2.13,2.34,0.75,-0.01,0.07,0.08,-0.38,-1.14,-1.38,-3.39,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",5.34,0.09,3.17,0.09,2.13,2.34,0.75,-0.01,0.07,0.08,-0.38,-1.14,-1.38,-3.39,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",5.72,0.10,3.28,0.09,2.13,2.55,0.90,0.39,-0.03,-0.34,-0.88,-0.76,-1.11,-3.74,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",5.72,0.10,3.28,0.09,2.13,2.55,0.90,0.39,-0.03,-0.34,-0.88,-0.76,-1.11,-3.74,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",5.81,0.10,3.40,0.09,2.06,2.39,1.09,0.38,-0.07,0.05,-0.55,-0.97,-1.39,-3.91,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",5.81,0.10,3.40,0.09,2.06,2.39,1.09,0.38,-0.07,0.05,-0.55,-0.97,-1.39,-3.91,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",5.07,0.09,2.96,0.08,2.04,2.07,0.79,0.20,-0.17,-0.12,-0.20,-1.16,-1.16,-3.18,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",5.07,0.09,2.96,0.08,2.04,2.07,0.79,0.20,-0.17,-0.12,-0.20,-1.16,-1.16,-3.18,#N/A
% Tgt Average,2.53,0.05,1.45,0.07,1.94,0.28,0.65,-0.22,0.39,-0.11,-0.29,-0.39,-1.15,-0.65,-1.22
IQS Rank,3.08,0.07,2.09,0.10,1.81,2.31,1.08,0.45,0.18,-0.43,0.15,-0.65,-1.35,-1.44,-0.84
AFG Investment Grade,2.26,0.05,1.51,0.06,0.91,0.66,-0.29,-0.52,-1.39,#N/A,#N/A,#N/A,#N/A,#N/A,0.76
% Tgt +3 SectRank,2.32,0.05,1.52,0.09,0.70,0.50,0.24,0.29,0.13,0.02,0.37,-0.62,-1.71,-1.68,0.84
 Sector    Name,-1.69,#N/A,#N/A,#N/A,-1.39,0.33,4.29,-1.13,-0.78,0.69,-0.33,1.44,1.74,-0.04,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.07
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.07
