,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",4.54,0.10,3.56,0.07,3.28,0.96,-0.19,-0.29,-0.57,-0.76,-1.83,-1.87,-2.59,-1.72,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",4.54,0.10,3.56,0.07,3.28,0.96,-0.19,-0.29,-0.57,-0.76,-1.83,-1.87,-2.59,-1.72,#N/A
% Tgt Average,3.97,0.08,2.39,0.06,3.20,0.37,-0.59,-1.62,-1.30,-0.62,-2.28,-2.57,-1.75,-0.87,-0.25
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",4.16,0.09,3.06,0.06,3.03,1.08,-0.07,-0.64,-0.68,-0.93,-1.41,-1.37,-1.98,-1.47,-7.15
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",4.16,0.09,3.06,0.06,3.03,1.08,-0.07,-0.64,-0.68,-0.93,-1.41,-1.37,-1.98,-1.47,-7.15
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",3.28,0.10,3.46,0.09,2.83,1.33,-0.03,-1.14,-1.11,-1.05,-1.12,-2.01,-2.27,-1.09,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",3.28,0.10,3.46,0.09,2.83,1.33,-0.03,-1.14,-1.11,-1.05,-1.12,-2.01,-2.27,-1.09,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",3.04,0.09,3.11,0.08,2.79,1.33,-0.51,-0.53,-1.18,-1.39,-1.62,-1.31,-1.69,-0.88,-8.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",3.04,0.09,3.11,0.08,2.79,1.33,-0.51,-0.53,-1.18,-1.39,-1.62,-1.31,-1.69,-0.88,-8.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",3.63,0.10,3.46,0.08,2.73,1.48,-0.27,-0.79,-0.96,-0.76,-1.24,-1.88,-2.44,-1.52,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",3.63,0.10,3.46,0.08,2.73,1.48,-0.27,-0.79,-0.96,-0.76,-1.24,-1.88,-2.44,-1.52,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",4.65,0.10,3.55,0.07,2.68,1.74,-0.45,0.04,-0.21,-0.84,-2.30,-1.91,-1.97,-2.33,#N/A
