,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",4.65,0.10,3.55,0.07,2.68,1.74,-0.45,0.04,-0.21,-0.84,-2.30,-1.91,-1.97,-2.33,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",3.99,0.10,3.24,0.07,2.67,1.16,0.33,-0.58,-0.84,-0.85,-1.07,-1.36,-2.30,-1.66,-7.15
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",3.99,0.10,3.24,0.07,2.67,1.16,0.33,-0.58,-0.84,-0.85,-1.07,-1.36,-2.30,-1.66,-7.15
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",3.21,0.09,3.24,0.08,2.61,1.47,-0.43,-0.59,-1.10,-1.23,-1.91,-0.87,-1.85,-1.12,-8.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",3.21,0.09,3.24,0.08,2.61,1.47,-0.43,-0.59,-1.10,-1.23,-1.91,-0.87,-1.85,-1.12,-8.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",3.87,0.09,3.12,0.07,2.46,0.93,0.35,0.01,-1.19,-0.66,-1.18,-1.66,-1.61,-1.79,-6.43
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",3.87,0.09,3.12,0.07,2.46,0.93,0.35,0.01,-1.19,-0.66,-1.18,-1.66,-1.61,-1.79,-6.43
% Tgt +0,1.32,0.10,3.30,0.08,2.32,1.98,0.31,-0.59,-1.53,-1.70,-2.32,-2.80,-1.12,0.48,-1.37
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",2.99,0.09,3.17,0.08,2.31,1.42,-0.19,-0.76,-0.98,-1.04,-1.90,-1.48,-1.24,-1.25,-6.71
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",2.99,0.09,3.17,0.08,2.31,1.42,-0.19,-0.76,-0.98,-1.04,-1.90,-1.48,-1.24,-1.25,-6.71
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",1.17,0.09,3.00,0.12,2.31,0.56,-0.33,-1.02,-1.14,-1.58,-1.08,-2.32,-1.32,0.05,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",1.17,0.09,3.00,0.12,2.31,0.56,-0.33,-1.02,-1.14,-1.58,-1.08,-2.32,-1.32,0.05,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",2.35,0.09,2.96,0.09,2.29,0.74,0.11,-0.77,-1.45,-0.82,-1.46,-1.99,-1.61,-0.73,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",2.31,0.09,2.96,0.09,2.26,0.71,0.15,-0.77,-1.43,-0.79,-1.47,-2.00,-1.62,-0.72,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",1.84,0.09,2.96,0.10,2.19,0.88,-0.12,-1.02,-1.54,-1.30,-1.09,-1.76,-1.54,-0.45,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",1.84,0.09,2.96,0.10,2.19,0.88,-0.12,-1.02,-1.54,-1.30,-1.09,-1.76,-1.54,-0.45,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",1.30,0.08,2.89,0.12,2.15,0.73,-0.54,-0.62,-1.25,-2.01,-1.20,-1.33,-1.53,-0.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",1.30,0.08,2.89,0.12,2.15,0.73,-0.54,-0.62,-1.25,-2.01,-1.20,-1.33,-1.53,-0.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",2.19,0.09,2.94,0.10,2.01,0.78,0.11,-0.77,-0.51,-1.98,-0.95,-1.92,-1.48,-0.96,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",2.12,0.09,3.09,0.10,1.99,1.10,-0.35,-0.65,-0.19,-1.41,-1.97,-2.00,-1.28,-0.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",2.12,0.09,3.09,0.10,1.99,1.10,-0.35,-0.65,-0.19,-1.41,-1.97,-2.00,-1.28,-0.98,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",1.48,0.08,2.89,0.11,1.98,0.96,0.11,-1.17,-1.08,-1.60,-1.28,-1.33,-1.92,-0.47,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",1.48,0.08,2.89,0.11,1.98,0.96,0.11,-1.17,-1.08,-1.60,-1.28,-1.33,-1.92,-0.47,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",2.20,0.09,2.93,0.10,1.95,0.89,0.13,-0.86,-0.51,-1.92,-1.05,-1.88,-1.42,-1.03,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",1.63,0.09,3.02,0.11,1.93,1.03,-0.12,-0.79,-1.33,-1.05,-1.76,-1.75,-1.30,-0.62,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",1.63,0.09,3.02,0.11,1.93,1.03,-0.12,-0.79,-1.33,-1.05,-1.76,-1.75,-1.30,-0.62,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",1.50,0.09,3.05,0.11,1.92,0.96,-0.11,-1.33,-0.44,-1.44,-1.32,-2.00,-1.49,-0.59,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",1.50,0.09,3.05,0.11,1.92,0.96,-0.11,-1.33,-0.44,-1.44,-1.32,-2.00,-1.49,-0.59,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",1.76,0.08,2.93,0.11,1.89,0.87,-0.25,-0.82,-1.11,-1.34,-1.04,-1.83,-1.34,-0.80,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",1.76,0.08,2.93,0.11,1.89,0.87,-0.25,-0.82,-1.11,-1.34,-1.04,-1.83,-1.34,-0.80,#N/A
EBITDA/EV,-1.99,0.05,1.48,0.15,1.74,-0.13,-0.07,-0.54,-1.38,-2.22,-1.68,0.14,-0.26,2.07,-1.65
% Tgt +3 SectRank,2.24,0.07,2.10,0.05,1.11,0.79,-0.03,0.27,-0.03,-0.76,-1.16,-2.50,-1.34,-1.22,-1.28
AFG Investment Grade,2.14,0.05,1.68,0.05,1.05,-0.18,-0.81,-1.02,-1.18,#N/A,#N/A,#N/A,#N/A,#N/A,-0.82
 Sector    Name,1.81,#N/A,#N/A,#N/A,-1.37,-1.84,1.25,-1.50,1.13,-0.45,-0.50,1.89,-3.89,-3.52,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.52
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.52
