Factor,F1-FN,IC,IC.tstat,IC.sd,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",4.40,0.10,3.23,0.08,1.69,1.44,0.88,0.67,0.11,0.05,-0.24,-0.64,-1.42,-3.24,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",4.04,0.10,3.23,0.09,1.67,1.45,0.77,0.44,0.28,-0.14,-0.29,-0.52,-1.48,-2.89,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",4.04,0.10,3.23,0.09,1.67,1.45,0.77,0.44,0.28,-0.14,-0.29,-0.52,-1.48,-2.89,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",4.26,0.10,3.28,0.09,1.66,1.44,1.13,0.37,0.13,0.14,-0.41,-0.58,-1.48,-3.06,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",4.26,0.10,3.28,0.09,1.65,1.45,1.13,0.36,0.14,0.14,-0.42,-0.58,-1.46,-3.07,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",4.44,0.10,3.23,0.08,1.58,1.41,0.76,0.43,0.32,-0.04,0.30,-0.75,-1.38,-3.34,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",4.44,0.10,3.23,0.08,1.58,1.41,0.76,0.43,0.32,-0.04,0.30,-0.75,-1.38,-3.34,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",4.16,0.10,3.16,0.08,1.54,1.36,0.66,0.32,0.17,-0.01,0.13,-0.61,-1.21,-3.15,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.16,0.10,3.16,0.08,1.54,1.36,0.66,0.32,0.17,-0.01,0.13,-0.61,-1.21,-3.15,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",4.19,0.09,3.03,0.08,1.45,1.34,0.72,0.23,0.48,0.07,0.04,-0.70,-1.10,-3.22,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",4.19,0.09,3.03,0.08,1.45,1.34,0.72,0.23,0.48,0.07,0.04,-0.70,-1.10,-3.22,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",4.46,0.09,3.09,0.07,1.44,1.41,0.87,0.32,0.43,0.22,0.14,-0.88,-1.14,-3.45,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",4.46,0.09,3.09,0.07,1.44,1.41,0.87,0.32,0.43,0.22,0.14,-0.88,-1.14,-3.45,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",4.15,0.08,2.57,0.07,1.43,0.87,1.09,0.29,0.58,0.13,0.01,-0.76,-1.30,-2.95,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",4.15,0.08,2.57,0.07,1.43,0.87,1.09,0.29,0.58,0.13,0.01,-0.76,-1.30,-2.95,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",3.88,0.08,2.50,0.07,1.40,0.77,0.88,0.07,0.71,0.12,-0.12,-0.63,-1.11,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",3.88,0.08,2.50,0.07,1.40,0.77,0.88,0.07,0.71,0.12,-0.12,-0.63,-1.11,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",3.82,0.07,2.38,0.06,1.33,0.72,0.79,0.41,0.62,-0.05,0.12,-0.58,-1.25,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",3.82,0.07,2.38,0.06,1.33,0.72,0.79,0.41,0.62,-0.05,0.12,-0.58,-1.25,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",4.12,0.07,2.45,0.06,1.31,0.80,1.01,0.68,0.45,0.08,0.13,-0.72,-1.29,-3.02,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",4.12,0.07,2.45,0.06,1.31,0.80,1.01,0.68,0.45,0.08,0.13,-0.72,-1.29,-3.02,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",3.65,0.07,2.31,0.06,1.25,0.78,0.50,0.47,0.51,0.07,-0.48,-0.47,-0.82,-2.74,-0.51
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",3.65,0.07,2.31,0.06,1.25,0.78,0.50,0.47,0.51,0.07,-0.48,-0.47,-0.82,-2.74,-0.51
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",3.30,0.07,2.24,0.06,1.22,0.75,0.44,0.28,0.35,0.04,-0.40,-0.37,-0.76,-2.49,-0.98
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",3.30,0.07,2.24,0.06,1.22,0.75,0.44,0.28,0.35,0.04,-0.40,-0.37,-0.76,-2.49,-0.98
AFG Investment Grade,2.95,0.07,2.06,0.07,1.13,0.48,-0.97,-1.12,-2.00,#N/A,#N/A,#N/A,#N/A,#N/A,0.90
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",2.69,0.06,1.88,0.06,0.71,0.65,0.76,0.32,0.05,0.04,0.02,-0.16,-0.90,-2.34,-0.86
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",2.69,0.06,1.88,0.06,0.71,0.65,0.76,0.32,0.05,0.04,0.02,-0.16,-0.90,-2.34,-0.86
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",2.40,0.06,1.83,0.07,0.69,0.76,0.52,-0.14,0.44,-0.12,-0.16,0.01,-0.71,-2.14,-1.29
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",2.40,0.06,1.83,0.07,0.69,0.76,0.52,-0.14,0.44,-0.12,-0.16,0.01,-0.71,-2.14,-1.29
EBITDA/EV,-5.99,0.02,-0.19,0.34,-0.42,4.83,-0.42,-1.72,-3.11,-3.38,-2.59,1.00,2.82,-0.10,-0.04
% Tgt +0,-0.55,0.02,0.71,0.07,-1.02,-0.57,-0.35,0.44,0.15,0.25,0.02,-0.62,-0.50,-0.97,1.10
 Sector    Name,-2.80,#N/A,#N/A,#N/A,-2.56,-0.28,-0.34,0.37,-0.90,-0.64,3.69,-1.95,3.85,-0.33,#N/A
% Tgt +3 SectRank,-9.63,-0.06,-1.76,0.07,-6.16,-2.38,-0.38,-0.14,0.51,-0.94,0.37,-0.49,1.68,3.18,0.38
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03
