Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",6.00,0.0827,1.5209,0.1029,1.5518,-0.07,-0.58,0.77,0.80,0.28,-1.11,-0.13,0.42,-4.64,#N/A,100.00,43.35,2.20,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30)",4.33,0.0794,1.4562,0.0980,1.5097,-1.08,0.41,0.92,0.78,-0.50,0.26,-1.59,-0.29,-3.00,#N/A,100.00,43.64,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",2.78,0.0706,1.2648,0.0916,1.4856,0.48,1.17,-0.39,1.03,-0.97,-0.29,-0.20,-1.36,-1.52,-3.77,94.10,39.66,2.04,2.33,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",3.34,0.0746,1.3419,0.0956,1.4842,0.56,1.68,0.11,-0.06,-0.99,0.48,-0.54,-1.15,-2.06,-4.13,94.64,40.93,2.01,2.25,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",5.34,0.0842,1.5601,0.1008,1.4789,0.60,0.65,0.23,0.11,-0.12,-0.64,-0.50,-0.44,-4.06,#N/A,100.00,42.85,2.19,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW30)",5.28,0.0851,1.5734,0.0938,1.4711,0.48,0.04,0.19,0.31,-0.06,-0.24,0.14,-0.94,-3.99,#N/A,100.00,42.86,2.20,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",3.62,0.0733,1.3141,0.0955,1.4409,0.65,0.84,0.01,-0.17,-0.13,-0.12,0.15,-0.64,-2.37,-4.13,94.64,41.31,1.97,2.25,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",2.78,0.0723,1.3036,0.0840,1.4362,1.34,0.99,0.07,0.08,-0.66,0.40,-1.49,-1.11,-1.52,-4.13,94.64,39.60,2.07,2.33,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30)",4.20,0.0839,1.5484,0.0920,1.4153,-0.06,0.39,1.03,-0.20,0.08,-0.32,-0.90,-1.08,-2.95,#N/A,100.00,43.28,2.18,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",2.44,0.0718,1.2909,0.0858,1.4015,0.96,0.69,0.37,0.17,-0.05,-0.89,-0.77,-1.04,-1.20,-4.13,94.64,40.79,2.08,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30,ROW36)",3.28,0.0788,1.4438,0.0969,1.3911,-0.43,0.00,1.04,-0.07,-0.10,1.10,-1.74,-1.64,-2.11,#N/A,100.00,43.48,2.29,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW30)",5.36,0.0851,1.5691,0.0980,1.3883,-1.16,1.92,0.71,0.33,-0.65,-0.38,-1.02,0.30,-4.18,#N/A,100.00,43.68,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30,ROW36)",4.14,0.0868,1.6043,0.0908,1.3833,1.36,0.73,-0.73,0.76,-0.15,-1.80,0.11,-1.25,-2.91,#N/A,100.00,42.23,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",3.30,0.0681,1.2168,0.0923,1.3429,0.40,-0.43,0.29,0.71,-0.10,-0.61,0.79,-0.80,-2.17,-3.77,94.10,40.22,1.97,2.33,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26,ROW30)",4.55,0.0824,1.5186,0.1018,1.3387,-0.97,0.49,1.58,0.33,0.55,-0.79,-1.32,-0.46,-3.43,#N/A,100.00,43.96,2.19,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24)",3.95,0.0762,1.3677,0.0885,1.3221,1.37,0.04,0.80,-0.19,-0.51,-0.57,0.13,0.06,-2.89,-4.13,94.64,40.92,1.92,2.50,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW36)",3.66,0.0718,1.3071,0.0778,1.3204,0.65,1.41,-0.38,-0.59,0.29,-0.29,-0.32,-0.67,-2.50,-5.66,97.07,40.88,1.97,1.00,100.00
AFG CO Grade Scaled,2.71,0.0520,0.8480,0.0707,1.3006,0.62,0.14,-1.09,-1.86,#N/A,#N/A,#N/A,#N/A,#N/A,-2.21,78.44,35.23,3.35,5.00,95.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW30,ROW36)",4.68,0.0835,1.5370,0.0979,1.3005,-0.63,1.53,-0.28,1.10,-0.57,0.40,-1.79,-0.18,-3.55,#N/A,100.00,43.49,2.10,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",2.54,0.0685,1.2318,0.0870,1.2855,0.99,0.48,-0.22,1.20,-0.41,-0.60,-1.47,-0.23,-1.39,-4.13,94.64,40.89,2.18,3.00,100.00
AFG Investment Grade,2.83,0.0517,0.8417,0.0720,1.2770,0.69,0.04,-1.40,-1.96,#N/A,#N/A,#N/A,#N/A,#N/A,-2.19,78.56,35.36,3.68,5.00,95.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30,ROW36)",4.09,0.0826,1.5212,0.0913,1.2767,0.10,1.23,-1.04,1.06,-0.18,-0.16,-0.79,-1.15,-2.92,#N/A,100.00,43.15,2.15,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",4.28,0.0821,1.5151,0.0958,1.2670,0.26,1.25,0.15,0.11,0.49,-0.60,-1.88,-0.41,-3.15,#N/A,100.00,43.37,2.17,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26,ROW30)",5.10,0.0834,1.5376,0.1015,1.2636,-0.76,0.97,0.74,0.86,-0.74,-0.29,-0.97,0.11,-4.04,#N/A,100.00,44.03,2.08,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30,ROW36)",3.95,0.0807,1.4844,0.0943,1.2619,-0.16,0.91,-0.04,0.11,0.48,0.02,-1.22,-1.04,-2.80,#N/A,100.00,43.48,2.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30,ROW36)",4.73,0.0840,1.5495,0.0929,1.2609,0.95,0.12,0.44,-0.22,-0.06,-0.24,-1.01,-0.21,-3.62,#N/A,100.00,42.88,2.04,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",3.50,0.0705,1.2679,0.0848,1.2530,1.37,0.09,0.41,0.59,-1.16,0.21,-0.04,-0.56,-2.43,-4.13,94.64,40.21,2.02,2.33,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW30)",5.22,0.0865,1.5999,0.1022,1.2361,-0.17,0.84,0.16,0.90,-0.47,-0.64,-0.27,-0.23,-4.19,#N/A,100.00,43.41,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW30,ROW36)",4.27,0.0856,1.5792,0.0898,1.2272,0.92,0.06,0.42,0.10,0.05,-0.68,-0.67,-0.77,-3.23,#N/A,100.00,42.58,2.08,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW30)",4.04,0.0804,1.4836,0.0949,1.2237,-0.43,0.71,0.99,-0.27,0.58,-0.47,-0.58,-1.39,-2.93,#N/A,100.00,43.55,2.28,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",2.77,0.0660,1.1833,0.0882,1.2186,0.65,0.27,0.20,-0.11,0.67,-0.88,-0.45,-0.39,-1.68,-4.13,94.64,41.48,2.13,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",4.32,0.0836,1.5404,0.1127,1.2087,-0.40,0.82,1.04,-0.35,1.04,-2.12,-0.12,-0.42,-3.43,#N/A,100.00,43.53,2.34,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30)",4.09,0.0835,1.5426,0.0923,1.2055,0.72,0.67,-0.09,0.88,0.17,-0.92,-1.45,-0.68,-3.02,#N/A,100.00,43.01,2.21,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",2.91,0.0721,1.3074,0.0951,1.2022,0.48,1.13,-0.18,-0.52,0.59,0.62,-0.90,-1.55,-1.85,-5.62,96.84,41.49,2.02,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30)",4.41,0.0824,1.5195,0.0951,1.1958,0.14,0.57,0.65,-0.25,0.28,-0.11,-0.69,-1.04,-3.30,#N/A,100.00,43.62,2.14,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30,ROW36)",4.19,0.0852,1.5749,0.0934,1.1949,0.86,1.07,0.08,-0.58,1.28,-1.75,-0.14,-1.35,-3.14,#N/A,100.00,42.53,2.08,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",2.10,0.0703,1.2653,0.0881,1.1927,0.95,1.18,0.20,0.44,-1.18,-0.37,-0.73,-0.90,-1.05,-4.13,94.64,41.00,2.07,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",5.15,0.0832,1.5322,0.1046,1.1831,0.53,0.59,0.30,0.36,0.02,-1.26,-0.99,0.87,-4.14,#N/A,100.00,42.95,2.24,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW24,ROW30)",5.07,0.0858,1.5793,0.1058,1.1813,-0.45,1.00,0.34,0.76,-0.22,-0.89,-0.49,0.15,-4.14,#N/A,100.00,43.49,2.19,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW36)",2.18,0.0661,1.1945,0.0858,1.1800,-0.27,0.58,0.18,0.75,-0.16,0.72,-1.43,-1.34,-1.18,-5.62,96.84,41.73,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW30)",5.26,0.0885,1.6356,0.0975,1.1614,0.31,0.94,0.47,0.28,-0.20,-1.21,-0.08,0.08,-4.37,#N/A,100.00,43.14,2.06,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",5.00,0.0834,1.5396,0.1063,1.1607,0.08,0.35,1.29,-0.72,0.33,-0.58,0.18,-0.66,-4.03,#N/A,100.00,43.65,2.06,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",4.56,0.0853,1.5790,0.0946,1.1489,1.33,0.36,0.24,-0.19,0.02,-0.51,-0.88,-0.55,-3.58,#N/A,100.00,42.45,2.24,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW36)",3.04,0.0760,1.3847,0.0853,1.1209,1.40,0.51,0.40,-0.67,0.39,-0.40,-0.23,-1.60,-2.07,-5.66,97.07,41.07,1.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW36)",2.98,0.0749,1.3659,0.0887,1.1204,1.42,0.48,-0.26,0.49,-0.49,0.55,-1.36,-1.07,-2.04,-5.66,97.07,41.20,2.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",4.41,0.0814,1.5025,0.0985,1.1148,0.85,0.17,0.08,-0.59,0.40,0.62,-1.17,-0.51,-3.48,#N/A,100.00,43.23,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",5.17,0.0868,1.6089,0.1096,1.1125,0.12,1.00,0.58,0.42,-0.45,-0.20,-0.30,-0.72,-4.28,#N/A,100.00,43.52,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",4.52,0.0845,1.5623,0.1079,1.1119,-0.22,1.53,-0.07,1.02,-0.19,-0.67,-0.85,-0.67,-3.60,#N/A,100.00,43.35,2.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",2.32,0.0714,1.2780,0.1039,1.1077,0.71,1.37,-0.33,0.16,-0.98,0.77,-0.41,-1.42,-1.45,-3.77,94.10,40.99,2.01,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",5.14,0.0860,1.5925,0.1080,1.1038,-0.04,-0.11,1.05,0.34,-0.21,0.62,-0.72,-0.42,-4.26,#N/A,100.00,43.83,2.08,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW30)",4.97,0.0878,1.6265,0.1034,1.1014,0.14,1.95,-0.30,0.83,-0.98,-0.20,-0.64,-0.49,-4.08,#N/A,100.00,43.09,2.16,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW30,ROW36)",4.51,0.0863,1.5941,0.1007,1.0993,0.89,1.09,-0.55,0.74,-0.38,-0.16,-1.21,-0.51,-3.64,#N/A,100.00,43.03,2.05,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW30)",4.48,0.0839,1.5419,0.0979,1.0975,0.47,-0.48,1.14,0.19,0.13,-0.96,0.13,-0.82,-3.59,#N/A,100.00,42.94,2.26,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",3.19,0.0761,1.3685,0.0901,1.0939,1.71,0.90,-0.10,0.33,-1.00,0.47,-1.30,-0.21,-2.30,-4.13,94.64,40.79,1.96,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",1.83,0.0626,1.1140,0.0948,1.0828,-0.50,0.35,0.60,0.38,0.95,-0.78,-1.31,-0.34,-0.97,-3.77,94.10,41.53,2.14,3.25,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW30,ROW36)",4.57,0.0864,1.5939,0.0973,1.0748,1.19,-0.01,0.11,0.21,0.15,-0.62,-0.44,-0.55,-3.75,#N/A,100.00,43.00,2.04,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",4.71,0.0879,1.6262,0.0904,1.0592,1.70,0.58,0.32,-0.18,-0.20,-0.96,-0.58,-0.54,-3.80,#N/A,100.00,42.25,2.14,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26)",2.18,0.0645,1.1478,0.0924,1.0587,-0.52,1.10,-0.11,0.76,0.53,-1.10,-0.46,-0.61,-1.32,-3.77,94.10,41.26,2.16,3.60,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26,ROW36)",2.20,0.0675,1.2241,0.0859,1.0577,-0.35,0.77,0.49,0.56,0.38,0.20,-1.99,-0.94,-1.31,-5.62,96.84,41.45,2.19,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW36)",2.30,0.0707,1.2844,0.0809,1.0555,0.77,0.54,-0.08,0.47,-0.29,-0.16,-0.69,-1.32,-1.41,-5.66,97.07,41.53,2.05,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",2.84,0.0736,1.3441,0.0770,1.0457,1.32,1.38,0.05,-0.46,-0.06,-0.76,-0.23,-1.49,-1.94,-5.66,97.07,40.46,2.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",3.14,0.0738,1.3436,0.0914,1.0368,1.20,1.20,-0.68,-0.19,0.09,0.39,-0.11,-1.86,-2.25,-5.66,97.07,41.44,2.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW36)",3.01,0.0753,1.3711,0.0863,1.0302,1.45,0.77,-0.71,0.02,0.72,0.28,-1.49,-1.08,-2.10,-5.66,97.07,41.27,1.99,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26,ROW30)",4.53,0.0852,1.5737,0.0984,1.0284,0.00,1.24,0.74,0.85,-0.48,-0.41,-1.86,0.01,-3.67,#N/A,100.00,43.46,2.15,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26,ROW30)",4.49,0.0826,1.5260,0.1024,1.0277,-0.25,1.00,1.00,1.09,-0.25,-1.34,-1.44,0.27,-3.65,#N/A,100.00,43.74,2.23,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",2.93,0.0658,1.1936,0.0835,1.0223,0.36,0.59,0.43,-1.12,0.93,0.13,-1.22,-0.22,-2.04,-5.66,97.07,41.99,2.13,1.00,100.00
 Sector    Name,-0.32,#N/A,#N/A,#N/A,1.0106,-3.78,1.23,-0.83,0.39,-1.05,-0.97,3.21,-4.20,0.28,#N/A,100.00,#N/A,#N/A,#N/A,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",2.06,0.0667,1.1987,0.0899,1.0084,0.70,1.41,0.36,-0.54,0.31,-0.97,-0.84,-0.58,-1.21,-4.13,94.64,41.16,2.18,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",4.53,0.0810,1.4953,0.1080,1.0081,-0.18,0.02,1.06,1.49,-0.50,-0.38,-1.83,0.35,-3.69,#N/A,100.00,44.20,2.19,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",4.02,0.0785,1.4471,0.0994,0.9807,-0.17,0.24,1.21,0.14,0.37,-0.65,-0.49,-1.02,-3.16,#N/A,100.00,43.99,2.24,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",4.53,0.0818,1.5096,0.1212,0.9772,0.00,0.01,0.60,0.56,0.41,-0.43,-0.34,-0.63,-3.83,#N/A,100.00,44.12,2.29,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW36)",2.73,0.0680,1.2350,0.0822,0.9726,0.70,0.17,0.30,0.09,0.35,0.17,-1.23,-0.67,-1.90,-5.66,97.07,41.71,2.13,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",2.58,0.0643,1.1474,0.0906,0.9709,-0.01,0.33,0.06,1.12,-0.03,-0.10,-1.22,0.11,-1.82,-3.77,94.10,40.19,2.16,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)",2.59,0.0722,1.2932,0.0907,0.9685,0.80,0.63,1.36,-0.24,-0.59,-0.12,-0.88,-0.54,-1.82,-4.13,94.64,41.69,1.98,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",2.79,0.0695,1.2400,0.0892,0.9666,0.68,0.52,-0.20,0.61,0.37,-0.65,-0.46,-0.39,-2.09,-3.77,94.10,40.13,2.01,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW36)",2.83,0.0723,1.3165,0.0794,0.9660,1.07,1.12,-0.54,-0.31,0.33,0.30,-1.29,-0.63,-2.05,-5.66,97.07,40.85,2.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW30,ROW36)",4.53,0.0854,1.5773,0.1019,0.9656,0.64,0.55,-0.14,0.77,-0.19,-0.11,-0.72,-0.65,-3.72,#N/A,100.00,43.26,2.10,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW24)",3.22,0.0709,1.2656,0.0993,0.9652,0.81,-0.36,1.52,0.21,-0.71,-0.63,-0.11,0.28,-2.52,-3.77,94.10,41.09,1.96,2.60,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW36)",2.35,0.0716,1.3043,0.0810,0.9650,1.02,1.08,-0.55,1.08,-0.56,-0.37,-0.91,-1.29,-1.51,-5.66,97.07,41.26,2.09,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",4.14,0.0779,1.4375,0.1005,0.9617,-0.21,0.64,1.43,-0.10,0.44,-0.40,-1.95,0.10,-3.29,#N/A,100.00,43.72,2.28,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24,ROW36)",3.30,0.0701,1.2669,0.0948,0.9491,0.76,0.83,-1.01,0.73,0.69,-0.90,0.05,-0.61,-2.52,-5.62,96.84,41.81,1.95,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",2.55,0.0720,1.2890,0.0888,0.9487,0.85,0.84,0.51,0.56,-0.69,0.10,-0.86,-1.04,-1.84,-3.77,94.10,39.63,2.09,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",2.55,0.0731,1.3085,0.1000,0.9480,0.93,0.29,0.84,0.04,-0.06,-0.27,-0.82,-0.56,-1.86,-3.77,94.10,40.75,2.03,2.60,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",2.39,0.0672,1.2170,0.0853,0.9451,0.06,0.38,0.73,0.00,-0.21,0.42,-0.31,-1.36,-1.63,-5.62,96.84,41.02,2.11,1.00,100.00
