Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
% Tgt Average,4.43,0.0625,1.0592,0.0594,2.6786,1.41,1.55,1.16,0.95,-1.01,-0.69,1.14,-1.44,-2.01,-2.80,80.07,54.67,51.74,-100.00,"62,498.74"
% Tgt +0,2.64,0.0676,1.1601,0.0681,2.1773,2.33,1.11,1.46,-0.67,-0.12,-0.53,-0.31,-2.12,-0.62,-2.59,82.08,151.93,351.71,-100.00,"376,870.16"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",4.61,0.0749,1.3465,0.0812,2.1019,0.46,0.84,-0.66,0.78,-0.60,-0.61,0.11,-0.15,-2.70,-4.13,94.64,40.09,1.95,2.60,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",3.23,0.0738,1.3299,0.0826,1.9966,0.85,0.27,0.72,-0.19,-0.49,0.40,-0.96,-1.59,-1.37,-4.13,94.64,39.58,2.08,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",3.34,0.0694,1.2442,0.0864,1.9356,0.21,0.45,-0.27,0.81,-0.42,-0.48,-0.97,-0.14,-1.58,-4.13,94.64,41.28,2.03,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",3.50,0.0767,1.3814,0.0816,1.8863,1.24,0.67,0.41,-0.26,-0.74,-0.21,-0.34,-1.29,-1.79,-4.13,94.64,39.65,2.00,2.60,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",4.14,0.0735,1.3226,0.0823,1.8609,0.80,-0.03,0.62,0.43,-0.86,-0.14,0.06,-0.60,-2.49,-4.13,94.64,40.16,1.95,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",3.83,0.0751,1.3544,0.0821,1.8405,1.37,0.68,0.14,0.73,-1.49,-0.29,-0.45,-0.79,-2.15,-4.13,94.64,39.69,1.99,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",3.66,0.0754,1.3573,0.0920,1.7996,0.75,0.45,1.00,-0.79,0.39,-0.50,-0.49,-0.86,-2.07,-4.13,94.64,40.70,2.01,2.80,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW30)",5.63,0.0873,1.6123,0.0900,1.7764,0.71,0.04,-0.15,0.84,-0.78,-0.90,0.40,-0.57,-4.03,#N/A,100.00,42.62,2.10,1.00,100.00
RONA,1.11,0.0581,0.9656,0.1271,1.7673,1.14,0.23,-0.34,0.32,1.80,-1.05,0.45,-1.91,0.25,-2.03,78.87,3.40,1.86,-204.89,113.62
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26)",3.19,0.0706,1.2667,0.0848,1.7145,-0.13,0.34,0.69,0.73,-0.06,-1.12,-0.73,-0.22,-1.64,-4.13,94.64,41.07,2.04,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",5.67,0.0839,1.5526,0.0998,1.6835,-0.49,0.04,0.90,0.20,0.51,-0.68,0.12,-0.75,-4.28,#N/A,100.00,43.27,2.15,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26)",3.43,0.0682,1.2234,0.0862,1.6531,0.11,0.25,0.25,1.19,-0.45,-1.41,-0.31,0.27,-1.92,-4.13,94.64,41.21,2.14,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",5.65,0.0867,1.6039,0.0936,1.6387,0.68,1.09,0.18,-0.38,0.18,-0.69,-0.96,-0.10,-4.20,#N/A,100.00,42.55,2.09,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",5.63,0.0861,1.5916,0.0933,1.5945,0.72,0.10,-0.07,0.55,0.13,-0.94,-0.02,-0.41,-4.22,#N/A,100.00,42.92,2.06,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",4.06,0.0718,1.2899,0.0827,1.5797,1.05,-0.11,0.50,0.01,-0.54,0.68,-0.83,-0.24,-2.61,-4.13,94.64,40.11,2.03,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24)",4.01,0.0735,1.3178,0.0921,1.5764,0.88,0.15,0.83,-0.11,-0.48,-0.32,-0.46,0.24,-2.66,-4.13,94.64,41.06,1.96,2.80,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",3.25,0.0772,1.3874,0.0884,1.5685,0.79,1.36,-0.01,0.43,-0.70,-0.76,-0.19,-0.93,-1.87,-4.13,94.64,40.61,1.96,2.50,100.00
