Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26,ROW30)",2.88,0.0779,1.6123,0.0892,1.3717,0.55,0.25,0.95,0.86,0.27,-0.23,-0.96,-0.37,-1.69,#N/A,100.00,45.00,2.15,1.00,100.00
% Tgt Average,2.20,0.0485,0.8723,0.0917,1.3641,0.84,0.42,0.91,1.46,0.44,-0.24,1.06,0.21,-1.07,-1.67,75.23,"4,095.61","26,262.46",-100.00,"53,788,544.00"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW30,ROW36)",2.99,0.0797,1.6494,0.0947,1.3533,1.30,0.26,-0.33,0.84,0.18,0.15,-0.06,-0.97,-1.84,#N/A,100.00,43.50,2.05,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",2.95,0.0755,1.5612,0.0875,1.3452,0.36,0.45,0.54,0.90,0.46,0.20,-1.10,-0.42,-1.85,#N/A,100.00,44.67,2.30,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",2.98,0.0749,1.5494,0.0882,1.3381,0.80,0.48,0.17,0.42,1.09,-0.33,-0.02,-1.16,-1.85,#N/A,100.00,44.25,2.30,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW30)",2.91,0.0746,1.5448,0.0898,1.3356,0.63,0.35,0.06,0.90,0.60,0.15,-0.77,-0.61,-1.75,#N/A,100.00,43.45,2.36,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",1.89,0.0583,1.1663,0.0938,1.3351,0.34,0.41,0.50,0.64,0.58,-0.56,-0.16,0.19,-0.72,-2.40,92.86,40.84,2.63,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",1.96,0.0627,1.2534,0.0926,1.3340,0.72,0.41,0.47,0.81,0.10,-0.31,-0.20,0.10,-0.80,-2.40,92.86,42.40,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",3.10,0.0773,1.5995,0.0891,1.3312,0.84,0.58,-0.39,1.03,0.55,0.21,-0.56,-0.78,-1.99,#N/A,100.00,44.01,2.33,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",2.64,0.0556,1.1157,0.0916,1.3262,0.23,0.55,0.44,0.17,0.30,0.34,-0.03,0.79,-1.54,-2.40,92.86,40.23,2.94,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",3.16,0.0736,1.5238,0.0888,1.3191,0.60,0.54,-0.25,1.07,0.80,0.25,-0.78,-0.61,-2.05,#N/A,100.00,43.65,2.51,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30,ROW36)",2.98,0.0769,1.5934,0.0951,1.3190,0.96,0.57,-0.36,0.46,0.81,-0.02,-0.21,-0.85,-1.88,#N/A,100.00,43.09,2.21,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26,ROW30)",3.53,0.0761,1.5736,0.0870,1.3183,0.31,0.75,0.34,0.80,0.61,0.48,-0.42,-0.87,-2.39,#N/A,100.00,44.09,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",3.49,0.0745,1.5414,0.0877,1.3173,0.38,0.43,0.37,0.97,0.93,-0.34,0.07,-0.89,-2.37,#N/A,100.00,43.12,2.53,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",3.22,0.0731,1.5156,0.0885,1.3076,0.21,0.74,0.30,0.56,0.71,-0.13,-0.01,-0.76,-2.11,#N/A,100.00,43.26,2.55,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30,ROW36)",2.59,0.0801,1.6575,0.0946,1.3049,0.80,0.97,0.27,0.02,0.32,-0.15,0.28,-1.47,-1.49,#N/A,100.00,44.31,1.93,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26,ROW30,ROW36)",2.93,0.0813,1.6820,0.0956,1.3038,0.57,1.69,-0.22,0.53,-0.53,0.50,-0.09,-1.00,-1.85,#N/A,100.00,44.73,1.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30)",2.95,0.0766,1.5847,0.0896,1.2961,0.60,0.69,0.24,0.55,0.66,0.12,-0.43,-0.94,-1.86,#N/A,100.00,44.20,2.19,1.00,100.00
Fin Sust,0.23,0.0310,0.5428,0.1006,1.2927,0.93,0.39,0.37,-0.09,0.26,1.20,0.88,0.03,0.91,-1.00,68.52,"1,707.01",191.53,1.00,"3,999.00"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",3.48,0.0771,1.5928,0.0870,1.2896,0.74,0.13,0.55,0.73,0.91,0.25,-0.74,-0.57,-2.41,#N/A,100.00,44.54,2.28,1.00,100.00
