Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
% Tgt Average,8.08,0.0864,2.4455,0.1104,3.7970,1.49,0.46,-0.47,-1.82,-1.07,-1.81,-2.22,-2.93,-4.52,-4.14,87.54,"6,866.22","16,870.69",-100.00,"56,365,532.00"
Fin Sust,4.79,0.0915,2.4560,0.1160,3.4655,1.91,2.18,1.26,1.68,2.09,0.17,0.57,-1.53,-2.29,-6.65,68.62,"1,632.14",117.15,1.00,"3,593.00"
% Tgt +0,8.30,0.0898,2.7519,0.0643,2.5124,0.80,-0.20,-0.23,-0.77,-0.72,-1.78,-1.15,-2.91,-6.02,-1.96,88.78,"20,719.49","51,093.65",-100.00,"170,119,970.00"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",6.55,0.0905,2.8163,0.0781,1.8988,0.53,0.42,0.49,-0.83,-0.67,-1.68,-2.47,-3.60,-4.86,-6.65,97.98,51.29,3.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",5.96,0.0882,2.7671,0.0789,1.8045,0.69,0.02,0.35,-0.68,-0.71,-1.62,-2.23,-4.00,-4.41,-6.65,97.98,51.41,3.66,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",7.49,0.1017,3.1959,0.0850,1.7029,0.61,0.49,0.09,0.53,-0.74,-1.14,-2.32,-3.81,-5.98,-9.00,98.09,51.34,3.76,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",7.43,0.0938,2.9342,0.0807,1.6886,0.44,0.19,-0.02,0.17,-0.29,-1.44,-1.79,-3.55,-6.00,-9.00,98.09,51.54,3.58,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",7.02,0.0994,3.1490,0.0864,1.6443,0.43,0.47,0.07,0.44,-0.46,-1.39,-2.12,-4.07,-5.61,-9.00,98.09,51.43,3.53,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",6.25,0.0800,2.4950,0.0774,1.6359,0.17,0.17,-0.25,-0.88,-0.32,-1.08,-2.07,-3.26,-4.80,-6.65,97.98,52.47,3.53,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",6.16,0.0846,2.6277,0.0777,1.6189,1.19,0.19,-0.31,-0.71,-1.10,-1.10,-2.89,-2.89,-4.76,-6.65,97.98,51.00,3.90,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",5.95,0.0830,2.5945,0.0785,1.6184,1.05,0.06,-0.28,-0.67,-1.05,-1.18,-2.67,-3.10,-4.56,-6.65,97.98,51.11,3.61,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",7.12,0.0945,2.9615,0.0848,1.6180,0.59,0.67,0.00,-0.36,-0.49,-1.13,-2.26,-3.47,-5.75,-9.00,98.09,51.04,3.72,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26)",6.16,0.0786,2.4657,0.0779,1.6164,-0.15,0.28,-0.16,-0.95,-0.14,-1.15,-2.22,-3.06,-4.75,-6.65,97.98,52.52,3.39,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",6.55,0.0779,2.4243,0.0768,1.6134,0.62,-0.16,-0.44,-0.94,-0.70,-0.87,-1.95,-2.77,-5.12,-6.65,97.98,52.10,3.52,1.00,100.00
