Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
% Tgt Average,17.99,0.2457,7.0250,0.1173,13.1514,8.43,6.47,5.79,4.11,2.61,1.84,-0.24,-2.87,-5.56,-7.74,67.27,51.58,24.39,-100.00,"10,443.14"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",16.75,0.1933,6.5491,0.1262,6.4033,4.02,4.16,2.80,2.57,1.26,-0.86,-1.76,-5.28,-11.81,-19.55,98.35,52.04,1.13,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",16.75,0.1933,6.5491,0.1262,6.4033,4.02,4.16,2.80,2.57,1.26,-0.86,-1.76,-5.28,-11.81,-19.55,98.35,52.04,1.13,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",20.23,0.2269,7.9395,0.1655,6.3333,4.36,4.20,3.87,3.04,1.13,0.03,-2.54,-5.94,-17.11,#N/A,100.00,51.83,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",20.23,0.2269,7.9395,0.1655,6.3333,4.36,4.20,3.87,3.04,1.13,0.03,-2.54,-5.94,-17.11,#N/A,100.00,51.83,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",18.25,0.2045,6.9742,0.1360,6.1354,4.36,4.33,3.34,2.65,1.54,0.12,-2.01,-5.28,-14.07,-19.56,98.33,51.61,0.92,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",18.25,0.2045,6.9742,0.1360,6.1354,4.36,4.33,3.34,2.65,1.54,0.12,-2.01,-5.28,-14.07,-19.56,98.33,51.61,0.92,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW30)",20.19,0.2142,7.4260,0.1541,6.0542,4.04,3.81,3.63,3.23,1.46,-0.79,-1.73,-5.34,-16.84,#N/A,100.00,51.58,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",20.19,0.2142,7.4260,0.1541,6.0542,4.04,3.81,3.63,3.23,1.46,-0.79,-1.73,-5.34,-16.84,#N/A,100.00,51.58,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",16.72,0.1845,6.2265,0.1197,6.0530,4.11,4.14,2.55,2.26,1.73,-0.52,-2.26,-4.61,-11.98,-20.04,98.45,52.08,1.05,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",16.72,0.1845,6.2265,0.1197,6.0530,4.11,4.14,2.55,2.26,1.73,-0.52,-2.26,-4.61,-11.98,-20.04,98.45,52.08,1.05,1.00,100.00
