Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26,ROW30,ROW36)",4.43,0.0961,3.1953,0.0837,1.7402,1.19,1.17,0.24,-0.01,0.07,-0.30,-0.12,-1.48,-3.20,#N/A,100.00,50.24,0.92,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",4.47,0.1007,3.3472,0.0862,1.7340,1.52,0.87,0.51,0.12,0.03,-0.10,-0.82,-1.31,-3.25,#N/A,100.00,50.95,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",4.47,0.1007,3.3472,0.0862,1.7340,1.52,0.87,0.51,0.12,0.03,-0.10,-0.82,-1.31,-3.25,#N/A,100.00,50.95,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",3.83,0.0782,2.4911,0.0673,1.7179,0.89,1.04,0.23,-0.03,-0.37,-0.10,-0.59,-1.10,-2.45,-1.02,93.03,50.59,1.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",3.83,0.0782,2.4911,0.0673,1.7179,0.89,1.04,0.23,-0.03,-0.37,-0.10,-0.59,-1.10,-2.45,-1.02,93.03,50.59,1.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",4.74,0.0989,3.2812,0.0776,1.7162,1.56,1.10,0.57,0.12,0.13,-0.12,-0.92,-1.31,-3.48,#N/A,100.00,51.11,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",4.74,0.0989,3.2812,0.0776,1.7162,1.56,1.10,0.57,0.12,0.13,-0.12,-0.92,-1.31,-3.48,#N/A,100.00,51.11,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",4.48,0.0973,3.2305,0.0796,1.6882,1.42,0.91,0.65,0.12,0.05,-0.24,-0.64,-1.32,-3.32,#N/A,100.00,51.05,0.78,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",4.48,0.0973,3.2305,0.0796,1.6882,1.42,0.91,0.65,0.12,0.05,-0.24,-0.64,-1.32,-3.32,#N/A,100.00,51.05,0.78,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW36)",3.22,0.0843,2.6901,0.0716,1.6816,1.14,0.68,0.05,0.22,0.08,-0.58,-0.61,-1.52,-2.12,-1.05,93.40,50.70,0.79,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW36)",3.22,0.0843,2.6901,0.0716,1.6816,1.14,0.68,0.05,0.22,0.08,-0.58,-0.61,-1.52,-2.12,-1.05,93.40,50.70,0.79,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",4.05,0.0972,3.2342,0.0882,1.6634,1.44,0.77,0.44,0.28,-0.14,-0.25,-0.52,-1.47,-2.91,#N/A,100.00,50.89,0.72,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",4.05,0.0972,3.2342,0.0882,1.6634,1.44,0.77,0.44,0.28,-0.14,-0.25,-0.52,-1.47,-2.91,#N/A,100.00,50.89,0.72,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26,ROW36)",4.13,0.0816,2.6058,0.0665,1.6564,1.18,0.68,0.05,0.23,-0.16,-0.25,-0.51,-0.96,-2.82,-1.04,93.42,50.04,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW36)",4.13,0.0816,2.6058,0.0665,1.6564,1.18,0.68,0.05,0.23,-0.16,-0.25,-0.51,-0.96,-2.82,-1.04,93.42,50.04,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",4.28,0.0986,3.2790,0.0863,1.6561,1.43,1.15,0.36,0.13,0.13,-0.42,-0.56,-1.46,-3.08,#N/A,100.00,50.95,0.73,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",4.28,0.0986,3.2790,0.0863,1.6561,1.43,1.15,0.36,0.13,0.13,-0.42,-0.56,-1.46,-3.08,#N/A,100.00,50.95,0.73,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26)",4.23,0.0831,2.6525,0.0638,1.6382,1.33,0.75,0.35,0.03,-0.21,-0.17,-0.54,-1.17,-2.91,-0.58,93.36,50.08,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26)",4.23,0.0831,2.6525,0.0638,1.6382,1.33,0.75,0.35,0.03,-0.21,-0.17,-0.54,-1.17,-2.91,-0.58,93.36,50.08,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26,ROW30,ROW36)",4.15,0.0938,3.1153,0.0819,1.6282,1.35,0.86,0.50,0.32,-0.13,-0.28,-0.67,-1.21,-3.02,#N/A,100.00,50.99,0.69,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30,ROW36)",4.15,0.0938,3.1153,0.0819,1.6282,1.35,0.86,0.50,0.32,-0.13,-0.28,-0.67,-1.21,-3.02,#N/A,100.00,50.99,0.69,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26,ROW36)",3.44,0.0823,2.6255,0.0726,1.6264,1.13,0.74,-0.20,0.11,0.03,-0.23,-0.56,-1.36,-2.26,-1.05,93.40,49.90,0.96,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW36)",3.44,0.0823,2.6255,0.0726,1.6264,1.13,0.74,-0.20,0.11,0.03,-0.23,-0.56,-1.36,-2.26,-1.05,93.40,49.90,0.96,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",3.52,0.0773,2.4617,0.0688,1.6035,0.83,1.06,0.26,-0.07,-0.39,0.15,-0.57,-1.39,-2.27,-1.02,93.03,49.70,1.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",3.52,0.0773,2.4617,0.0688,1.6035,0.83,1.06,0.26,-0.07,-0.39,0.15,-0.57,-1.39,-2.27,-1.02,93.03,49.70,1.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26,ROW30)",4.45,0.0889,2.9566,0.0839,1.5943,0.91,1.31,0.34,0.24,-0.13,-0.27,-0.27,-1.14,-3.26,#N/A,100.00,50.08,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",4.45,0.0889,2.9566,0.0839,1.5943,0.91,1.31,0.34,0.24,-0.13,-0.27,-0.27,-1.14,-3.26,#N/A,100.00,50.08,0.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26,ROW30)",4.32,0.0951,3.1566,0.0801,1.5933,1.43,1.16,0.43,0.21,0.00,-0.30,-0.55,-1.40,-3.18,#N/A,100.00,51.03,0.70,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30)",4.32,0.0951,3.1566,0.0801,1.5933,1.43,1.16,0.43,0.21,0.00,-0.30,-0.55,-1.40,-3.18,#N/A,100.00,51.03,0.70,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26,ROW30,ROW36)",4.43,0.0933,3.0990,0.0784,1.5848,1.28,1.11,0.27,0.19,0.12,-0.29,-0.29,-1.33,-3.33,#N/A,100.00,50.36,0.90,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW30,ROW36)",4.43,0.0933,3.0990,0.0784,1.5848,1.28,1.11,0.27,0.19,0.12,-0.29,-0.29,-1.33,-3.33,#N/A,100.00,50.36,0.90,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",3.62,0.0860,2.7448,0.0684,1.5804,1.35,0.77,0.22,0.27,-0.16,-0.47,-0.58,-1.50,-2.42,-0.58,93.34,50.75,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",3.62,0.0860,2.7448,0.0684,1.5804,1.35,0.77,0.22,0.27,-0.16,-0.47,-0.58,-1.50,-2.42,-0.58,93.34,50.75,0.80,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26,ROW36)",3.44,0.0796,2.5369,0.0684,1.5798,1.28,0.55,0.01,0.30,-0.07,-0.31,-0.59,-1.36,-2.31,-1.06,93.43,50.79,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW36)",3.44,0.0796,2.5369,0.0684,1.5798,1.28,0.55,0.01,0.30,-0.07,-0.31,-0.59,-1.36,-2.31,-1.06,93.43,50.79,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",3.48,0.0764,2.4326,0.0703,1.5733,0.96,0.82,0.14,0.07,-0.44,-0.26,-0.40,-0.93,-2.33,-1.38,93.11,50.53,0.99,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",3.48,0.0764,2.4326,0.0703,1.5733,0.96,0.82,0.14,0.07,-0.44,-0.26,-0.40,-0.93,-2.33,-1.38,93.11,50.53,0.99,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",4.43,0.0971,3.2231,0.0816,1.5719,1.42,0.75,0.44,0.30,-0.02,0.32,-0.74,-1.39,-3.34,#N/A,100.00,50.54,0.86,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",4.43,0.0971,3.2231,0.0816,1.5719,1.42,0.75,0.44,0.30,-0.02,0.32,-0.74,-1.39,-3.34,#N/A,100.00,50.54,0.86,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26,ROW30)",4.65,0.0945,3.1362,0.0767,1.5586,1.34,1.32,0.28,0.19,0.05,-0.11,-0.49,-1.26,-3.51,#N/A,100.00,50.40,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW30)",4.65,0.0945,3.1362,0.0767,1.5586,1.34,1.32,0.28,0.19,0.05,-0.11,-0.49,-1.26,-3.51,#N/A,100.00,50.40,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26)",3.83,0.0811,2.5867,0.0657,1.5528,1.31,0.80,0.27,0.08,-0.14,-0.31,-0.62,-1.23,-2.60,-0.60,93.37,50.83,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",3.83,0.0811,2.5867,0.0657,1.5528,1.31,0.80,0.27,0.08,-0.14,-0.31,-0.62,-1.23,-2.60,-0.60,93.37,50.83,0.75,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26,ROW30,ROW36)",3.88,0.0933,3.1042,0.0854,1.5442,1.35,0.89,0.23,0.11,-0.15,0.12,-0.28,-1.60,-2.88,#N/A,100.00,50.22,0.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30,ROW36)",3.88,0.0933,3.1042,0.0854,1.5442,1.35,0.89,0.23,0.11,-0.15,0.12,-0.28,-1.60,-2.88,#N/A,100.00,50.22,0.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW30,ROW36)",4.44,0.0915,3.0387,0.0821,1.5434,1.20,0.77,0.21,0.22,-0.49,0.31,-0.22,-0.89,-3.38,#N/A,100.00,49.73,1.00,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30,ROW36)",4.44,0.0915,3.0387,0.0821,1.5434,1.20,0.77,0.21,0.22,-0.49,0.31,-0.22,-0.89,-3.38,#N/A,100.00,49.73,1.00,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",4.16,0.0952,3.1600,0.0841,1.5414,1.36,0.68,0.32,0.15,0.02,0.13,-0.58,-1.23,-3.15,#N/A,100.00,50.47,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.16,0.0952,3.1600,0.0841,1.5414,1.36,0.68,0.32,0.15,0.02,0.13,-0.58,-1.23,-3.15,#N/A,100.00,50.47,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26,ROW30)",4.26,0.0944,3.1389,0.0837,1.5411,1.36,1.12,0.21,0.12,-0.10,-0.01,-0.34,-1.42,-3.15,#N/A,100.00,50.26,0.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30)",4.26,0.0944,3.1389,0.0837,1.5411,1.36,1.12,0.21,0.12,-0.10,-0.01,-0.34,-1.42,-3.15,#N/A,100.00,50.26,0.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW30)",4.80,0.0929,3.0849,0.0799,1.5409,1.29,0.81,0.44,0.03,-0.19,0.14,-0.30,-0.77,-3.66,#N/A,100.00,49.78,1.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",4.80,0.0929,3.0849,0.0799,1.5409,1.29,0.81,0.44,0.03,-0.19,0.14,-0.30,-0.77,-3.66,#N/A,100.00,49.78,1.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26,ROW36)",3.17,0.0758,2.4152,0.0715,1.5066,0.89,0.84,0.19,-0.18,-0.19,-0.15,-0.36,-1.28,-2.08,-1.38,93.11,49.66,1.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",3.17,0.0758,2.4152,0.0715,1.5066,0.89,0.84,0.19,-0.18,-0.19,-0.15,-0.36,-1.28,-2.08,-1.38,93.11,49.66,1.11,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW30,ROW36)",4.58,0.0883,2.9298,0.0765,1.5062,1.18,0.67,0.16,0.48,-0.10,0.04,-0.40,-0.64,-3.55,#N/A,100.00,49.87,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW30,ROW36)",4.58,0.0883,2.9298,0.0765,1.5062,1.18,0.67,0.16,0.48,-0.10,0.04,-0.40,-0.64,-3.55,#N/A,100.00,49.87,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26)",3.64,0.0836,2.6690,0.0698,1.4979,1.36,0.73,0.10,0.12,-0.06,-0.31,-0.54,-1.36,-2.48,-0.58,93.34,49.94,0.96,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",3.64,0.0836,2.6690,0.0698,1.4979,1.36,0.73,0.10,0.12,-0.06,-0.31,-0.54,-1.36,-2.48,-0.58,93.34,49.94,0.96,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",4.16,0.0921,3.0614,0.0865,1.4969,1.39,1.02,0.55,0.23,-0.16,-0.11,-0.71,-1.27,-3.09,#N/A,100.00,50.82,0.86,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",4.16,0.0921,3.0614,0.0865,1.4969,1.39,1.02,0.55,0.23,-0.16,-0.11,-0.71,-1.27,-3.09,#N/A,100.00,50.82,0.86,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26,ROW30,ROW36)",3.79,0.0878,2.9201,0.0855,1.4667,0.95,1.20,0.16,0.36,-0.08,-0.41,-0.14,-1.35,-2.88,#N/A,100.00,50.03,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30,ROW36)",3.79,0.0878,2.9201,0.0855,1.4667,0.95,1.20,0.16,0.36,-0.08,-0.41,-0.14,-1.35,-2.88,#N/A,100.00,50.03,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",4.17,0.0916,3.0329,0.0768,1.4558,1.32,0.72,0.21,0.52,0.07,0.00,-0.68,-1.10,-3.20,#N/A,100.00,50.61,0.81,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",4.17,0.0916,3.0329,0.0768,1.4558,1.32,0.72,0.21,0.52,0.07,0.00,-0.68,-1.10,-3.20,#N/A,100.00,50.61,0.81,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26,ROW30)",4.13,0.0886,2.9412,0.0795,1.4424,1.59,0.83,0.70,0.01,0.09,-0.15,-0.77,-1.21,-3.15,#N/A,100.00,50.95,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",4.13,0.0886,2.9412,0.0795,1.4424,1.59,0.83,0.70,0.01,0.09,-0.15,-0.77,-1.21,-3.15,#N/A,100.00,50.95,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW30,ROW36)",3.98,0.0905,3.0061,0.0804,1.4419,1.39,0.81,0.22,0.31,-0.12,0.10,-0.34,-1.43,-3.03,#N/A,100.00,50.32,0.85,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30,ROW36)",3.98,0.0905,3.0061,0.0804,1.4419,1.39,0.81,0.22,0.31,-0.12,0.10,-0.34,-1.43,-3.03,#N/A,100.00,50.32,0.85,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",4.44,0.0933,3.0911,0.0745,1.4377,1.39,0.88,0.31,0.43,0.24,0.11,-0.88,-1.14,-3.44,#N/A,100.00,50.67,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",4.44,0.0933,3.0911,0.0745,1.4377,1.39,0.88,0.31,0.43,0.24,0.11,-0.88,-1.14,-3.44,#N/A,100.00,50.67,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",3.75,0.0733,2.3362,0.0640,1.4364,1.09,1.14,-0.07,0.06,-0.03,-0.12,-0.59,-1.05,-2.61,-0.92,93.21,50.72,0.95,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",3.75,0.0733,2.3362,0.0640,1.4364,1.09,1.14,-0.07,0.06,-0.03,-0.12,-0.59,-1.05,-2.61,-0.92,93.21,50.72,0.95,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW30)",4.79,0.0896,2.9727,0.0745,1.4303,1.29,0.75,0.43,0.24,0.11,-0.04,-0.45,-0.62,-3.77,#N/A,100.00,49.91,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW30)",4.79,0.0896,2.9727,0.0745,1.4303,1.29,0.75,0.43,0.24,0.11,-0.04,-0.45,-0.62,-3.77,#N/A,100.00,49.91,0.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW36)",3.52,0.0785,2.5030,0.0697,1.4287,1.23,0.65,0.00,0.03,0.08,-0.12,-0.51,-1.19,-2.51,-1.06,93.43,50.00,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW36)",3.52,0.0785,2.5030,0.0697,1.4287,1.23,0.65,0.00,0.03,0.08,-0.12,-0.51,-1.19,-2.51,-1.06,93.43,50.00,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW30)",4.14,0.0915,3.0381,0.0788,1.4247,1.38,1.11,0.18,0.29,-0.04,-0.03,-0.32,-1.46,-3.16,#N/A,100.00,50.36,0.85,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30)",4.14,0.0915,3.0381,0.0788,1.4247,1.38,1.11,0.18,0.29,-0.04,-0.03,-0.32,-1.46,-3.16,#N/A,100.00,50.36,0.85,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30,ROW36)",3.70,0.0906,3.0135,0.0882,1.4246,1.31,0.91,0.57,0.19,-0.08,-0.26,-0.69,-1.26,-2.83,#N/A,100.00,50.75,0.84,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",3.70,0.0906,3.0135,0.0882,1.4246,1.31,0.91,0.57,0.19,-0.08,-0.26,-0.69,-1.26,-2.83,#N/A,100.00,50.75,0.84,1.00,100.00
