Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
% Tgt Average,4.41,0.1161,2.5087,0.0804,3.8755,3.08,1.89,1.22,1.15,0.23,-0.38,-0.39,-0.65,-1.27,-0.73,41.33,145.52,71.18,-100.00,"39,342.22"
IQS Rank,5.20,0.0900,2.6589,0.0780,2.7380,1.42,1.52,0.76,0.00,-0.08,0.41,-0.99,-1.68,-2.77,-1.28,78.98,"1,474.00",173.02,1.00,"3,000.00"
Economic Margin Momentum,4.27,0.0740,2.1402,0.0698,2.3141,0.66,-0.35,-1.11,-2.06,#N/A,#N/A,#N/A,#N/A,#N/A,1.00,78.53,3.16,0.11,1.00,5.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",4.42,0.0903,2.8856,0.0642,1.9656,1.10,1.14,0.22,0.23,-0.27,-0.49,-0.52,-1.53,-2.77,-0.56,93.33,50.84,0.94,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",4.42,0.0903,2.8856,0.0642,1.9656,1.10,1.14,0.22,0.23,-0.27,-0.49,-0.52,-1.53,-2.77,-0.56,93.33,50.84,0.94,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW36)",4.07,0.0883,2.8186,0.0680,1.9563,1.01,0.94,0.15,0.21,-0.24,-0.59,-0.42,-1.39,-2.56,-1.03,93.39,50.77,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",4.07,0.0883,2.8186,0.0680,1.9563,1.01,0.94,0.15,0.21,-0.24,-0.59,-0.42,-1.39,-2.56,-1.03,93.39,50.77,0.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",4.43,0.0856,2.7319,0.0612,1.8733,1.14,1.02,0.38,0.18,-0.41,-0.19,-0.52,-1.49,-2.85,-0.58,93.36,50.92,0.89,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",4.43,0.0856,2.7319,0.0612,1.8733,1.14,1.02,0.38,0.18,-0.41,-0.19,-0.52,-1.49,-2.85,-0.58,93.36,50.92,0.89,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",4.25,0.0836,2.6690,0.0644,1.8519,1.11,0.84,0.15,0.18,-0.31,-0.28,-0.50,-1.17,-2.75,-1.04,93.42,50.87,0.87,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",4.25,0.0836,2.6690,0.0644,1.8519,1.11,0.84,0.15,0.18,-0.31,-0.28,-0.50,-1.17,-2.75,-1.04,93.42,50.87,0.87,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26,ROW36)",3.98,0.0853,2.7259,0.0697,1.8389,1.07,0.72,0.06,0.22,-0.24,-0.39,-0.39,-1.32,-2.52,-1.03,93.39,49.93,1.02,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26,ROW36)",3.98,0.0853,2.7259,0.0697,1.8389,1.07,0.72,0.06,0.22,-0.24,-0.39,-0.39,-1.32,-2.52,-1.03,93.39,49.93,1.02,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",4.89,0.1024,3.4034,0.0841,1.8142,1.53,1.11,0.46,0.06,0.23,-0.13,-0.92,-1.31,-3.49,#N/A,100.00,51.01,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",4.89,0.1024,3.4034,0.0841,1.8142,1.53,1.11,0.46,0.06,0.23,-0.13,-0.92,-1.31,-3.49,#N/A,100.00,51.01,0.83,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26)",4.10,0.0869,2.7763,0.0665,1.7819,1.28,0.83,0.17,0.16,-0.18,-0.53,-0.37,-1.42,-2.66,-0.56,93.33,49.98,1.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",4.10,0.0869,2.7763,0.0665,1.7819,1.28,0.83,0.17,0.16,-0.18,-0.53,-0.37,-1.42,-2.66,-0.56,93.33,49.98,1.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26,ROW30)",4.87,0.0973,3.2358,0.0818,1.7472,1.20,1.33,0.28,0.05,0.03,-0.17,-0.25,-1.35,-3.53,#N/A,100.00,50.30,0.94,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26,ROW30)",4.87,0.0973,3.2358,0.0818,1.7472,1.20,1.33,0.28,0.05,0.03,-0.17,-0.25,-1.35,-3.53,#N/A,100.00,50.30,0.94,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26,ROW30,ROW36)",4.43,0.0961,3.1953,0.0837,1.7402,1.19,1.17,0.24,-0.01,0.07,-0.30,-0.12,-1.48,-3.20,#N/A,100.00,50.24,0.92,1.00,100.00
