Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,0.91521,0.03316,1.08444,0.10487,-0.27725,0.38682,0.73388,0.04459,0.60728,0.85675,0.09909,-0.29289,-1.03149,-1.34380,-1.16166
IQS Decile,1.30820,0.03163,1.03376,0.10337,-0.50515,0.43405,0.46808,1.18453,1.15617,0.02334,1.06129,0.62488,-0.82929,-1.95918,-1.16166
AFG Investment Grade,2.64048,0.04824,1.56648,0.04911,1.46611,0.81041,0.08235,-0.45769,-1.21170,#N/A,#N/A,#N/A,#N/A,#N/A,-2.19360
AFG CO Grade Scaled,3.01610,0.05417,1.75900,0.04553,1.64256,0.62705,0.18907,-0.42289,-1.41046,#N/A,#N/A,#N/A,#N/A,#N/A,-2.22943
% Tgt Average,5.95600,0.07636,2.48973,0.07005,2.20871,0.67879,1.17526,1.37881,0.68292,-0.42617,-0.36000,-0.22956,-0.94036,-3.91652,-2.26287
% Tgt +0,5.15194,0.08114,2.69312,0.08597,1.95130,1.09510,1.58624,0.70235,-0.06749,0.00908,-0.16577,-0.19007,-1.32104,-3.45007,-2.59357
% Tgt +3 SectRank,2.88279,0.05967,1.95047,0.06309,0.53540,1.13908,1.16383,1.21267,0.19309,0.69002,-0.37683,-0.65087,-0.97952,-2.47941,-2.58672
Fin Sust,1.30981,0.03421,1.08686,0.07463,0.22153,0.09498,0.69161,0.81412,-0.07991,-0.00875,-0.46336,0.08759,-0.37942,-1.20599,-1.16166
RONA,1.19169,0.05020,1.72260,0.13931,0.14872,0.02228,0.99594,0.14997,0.42983,0.87273,-0.68044,0.44461,-0.88487,-1.39721,-2.02804
Economic Margin Momentum,1.10034,0.02207,0.72244,0.04229,-0.33804,0.62952,-0.00820,0.79959,-1.47521,#N/A,#N/A,#N/A,#N/A,#N/A,-2.60386
Earnings Quality Decile,1.99302,0.02913,0.81106,0.06471,0.99052,1.01779,0.67374,0.12502,0.73107,-0.06789,0.28050,-0.78382,0.09805,-1.30254,-1.06043
Price to 52 Week High,1.51575,0.02753,0.97313,0.14793,-0.77413,-0.33871,-0.56374,0.08293,0.90399,1.05153,0.84277,0.22282,-0.29558,-2.67739,#N/A
EBITDA/EV,-1.07965,-0.03723,-1.06147,0.05979,-1.40788,-1.17741,1.14422,-0.67613,1.03659,1.97090,1.84712,0.49575,0.77901,-0.34309,-1.31593
 Sector    Name,0.04054,#N/A,#N/A,#N/A,0.48439,-1.75636,0.96327,-1.14216,-0.14092,0.04457,-0.33708,2.35567,-1.78858,-0.65396,#N/A
POE Screen,-0.86142,0.02528,0.79135,0.05998,-0.05299,0.74957,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.26400
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",5.09465,0.07436,2.51283,0.09464,1.82043,0.40131,1.40788,1.06130,0.25666,0.28411,0.25817,-0.95184,-1.65049,-3.41566,-4.13140
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",4.26407,0.06973,2.35310,0.09239,1.71633,0.29715,1.25287,0.58782,1.04843,0.37125,-0.51119,-0.43971,-2.14855,-2.69579,-3.76959
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",3.79967,0.06601,2.22324,0.08816,1.25926,0.98807,0.94467,0.29656,0.66557,0.55280,-0.12757,-0.83083,-1.63298,-2.65720,-3.76959
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",3.81628,0.06402,2.15867,0.09223,1.06701,0.70184,0.63012,0.87870,1.15000,-0.35020,0.17239,-0.68420,-1.21834,-2.85014,-3.76959
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",3.19171,0.06890,2.34578,0.11302,0.34826,0.87647,0.78793,1.17700,0.83332,0.56288,0.19222,-0.70707,-1.60092,-3.09451,-3.76959
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",3.01750,0.05978,2.01647,0.09139,0.67561,1.52016,0.71988,0.13431,0.37570,0.89856,-0.06980,-0.82774,-1.52082,-2.44127,-3.76959
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30)",3.47000,0.06691,2.28927,0.11349,0.08029,1.07316,0.91127,0.77548,0.48844,0.72986,-0.21016,-0.40435,-1.09027,-3.61648,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW36)",3.60863,0.06733,2.28116,0.09541,0.57449,0.88544,1.40780,0.63202,0.62073,0.36595,-0.10785,-0.68401,-1.26031,-3.18975,-5.61845
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",4.76432,0.07521,2.53742,0.08974,1.88030,0.87754,0.92392,0.89702,0.84837,0.07000,-0.52145,-0.70601,-1.76021,-3.02869,-4.13140
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",4.89646,0.07357,2.47927,0.08767,2.09776,0.58447,1.02065,0.98189,0.12487,-0.16971,1.05047,-1.08281,-2.16643,-2.90799,-4.13140
