Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",3.52427,0.07726,2.46175,0.06880,1.60351,0.83071,1.05708,0.26241,-0.07150,-0.38523,0.14888,-0.56880,-1.39282,-2.26984,-1.01716
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",3.96086,0.08391,2.78654,0.08161,1.21284,0.99305,0.96655,0.68980,-0.21475,-0.02573,-0.20090,-0.23483,-0.66732,-3.21416,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW36)",2.56798,0.06578,2.09180,0.07051,1.09835,0.80206,0.41212,-0.06580,0.24294,-0.26381,0.10857,-0.38163,-0.82813,-1.95343,-1.32406
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",2.68145,0.05901,1.87800,0.06331,0.70330,0.63755,0.77415,0.32762,0.04631,0.03231,-0.01568,-0.15174,-0.87333,-2.33173,-0.85578
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",3.75427,0.07332,2.33616,0.06399,1.43643,1.08669,1.14310,-0.07371,0.05976,-0.03118,-0.11793,-0.58820,-1.04788,-2.60587,-0.91637
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",3.90365,0.08205,2.71796,0.07580,1.15894,1.17881,0.97113,0.37700,0.33888,-0.08373,0.05427,-0.25633,-1.12594,-3.23640,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",2.40559,0.05738,1.82512,0.06556,0.69305,0.75569,0.51504,-0.13875,0.45278,-0.11917,-0.19483,-0.00083,-0.66094,-2.14393,-1.29420
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",3.83114,0.07821,2.49111,0.06729,1.71791,0.88837,1.03501,0.23284,-0.02599,-0.37433,-0.10065,-0.58810,-1.10400,-2.44856,-1.01716
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",3.88209,0.08590,2.85036,0.08375,1.20323,1.16784,0.90877,0.38468,0.42658,-0.05525,-0.07804,-0.57023,-0.89346,-3.17290,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW36)",2.38137,0.06211,1.97340,0.06852,0.90273,0.76284,0.46115,-0.09883,0.25058,-0.23008,-0.05941,-0.42737,-0.48593,-1.96963,-1.32406
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",4.16369,0.09210,3.06137,0.08654,1.49688,1.39333,1.01505,0.55168,0.22661,-0.16279,-0.10757,-0.70807,-1.26744,-3.08699,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",3.47798,0.07640,2.43258,0.07029,1.57331,0.95740,0.82467,0.14284,0.06518,-0.44106,-0.26224,-0.40007,-0.92974,-2.32676,-1.38436
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30,ROW36)",3.44588,0.08419,2.79400,0.08566,1.19761,1.10785,0.79598,0.27516,0.28229,-0.07625,-0.12687,-0.37698,-0.97043,-2.85859,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",3.10289,0.07381,2.35330,0.06935,1.11760,0.66718,0.87340,0.02431,0.49007,-0.15497,-0.18894,-0.33003,-1.05967,-2.40331,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",2.91121,0.06739,2.14559,0.06547,0.86392,0.72018,0.48838,0.68346,0.44545,-0.21990,-0.35071,-0.27017,-0.87168,-2.41081,-0.59575
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",2.82184,0.07236,2.30472,0.06730,0.92514,0.92106,0.50998,0.46276,0.35841,0.08124,-0.38799,-0.56562,-0.92645,-2.39935,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",3.61885,0.08599,2.74481,0.06840,1.58041,1.35026,0.76957,0.21632,0.27242,-0.16178,-0.46806,-0.57716,-1.50335,-2.42253,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",3.93750,0.09259,3.07460,0.08419,1.35913,1.55677,0.58152,0.18578,0.44680,-0.09930,0.17491,-0.63662,-1.23498,-3.06443,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",2.24870,0.07079,2.25301,0.07033,1.00443,0.87324,0.32876,0.27377,0.48142,-0.00495,-0.39639,-0.61672,-1.06539,-1.92107,-1.04874
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",3.59624,0.07350,2.34490,0.06352,1.23891,0.65774,0.65658,0.38781,0.47725,-0.14685,-0.02990,-0.46848,-0.96730,-2.72530,-0.50872
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",3.56614,0.07749,2.47271,0.06577,1.29259,0.90929,0.82194,-0.02597,0.56651,-0.27820,-0.13598,-0.44538,-0.99151,-2.66770,-0.49515
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",4.09761,0.08690,2.77629,0.06651,1.78191,1.28078,0.82782,0.16874,0.16088,-0.17988,-0.53398,-0.37296,-1.42186,-2.65562,-0.56282
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",4.80092,0.09293,3.08491,0.07990,1.54088,1.28549,0.80514,0.43837,0.03282,-0.18738,0.13533,-0.29697,-0.76985,-3.66151,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",3.09765,0.07592,2.42118,0.06910,1.36593,0.72151,0.76284,-0.25260,0.58551,-0.18377,-0.26867,-0.24606,-1.15327,-2.32317,-0.96210
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",3.63747,0.07226,2.30351,0.06051,1.24674,0.78135,0.48247,0.48371,0.46636,0.07327,-0.43649,-0.47704,-0.84012,-2.72081,-0.50872
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",4.42745,0.08557,2.73186,0.06117,1.87335,1.13631,1.02500,0.38486,0.17571,-0.40782,-0.18740,-0.52250,-1.48884,-2.85288,-0.57637
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",4.43888,0.09333,3.09106,0.07447,1.43766,1.39300,0.88488,0.31417,0.42625,0.24419,0.11333,-0.87579,-1.13805,-3.43588,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",3.28816,0.07027,2.23915,0.06372,1.22880,0.74330,0.43985,0.26720,0.30760,0.01905,-0.34259,-0.34730,-0.79616,-2.47231,-0.97560
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",4.41584,0.09034,2.88564,0.06418,1.96558,1.10175,1.14285,0.22023,0.23330,-0.27497,-0.48948,-0.51683,-1.53199,-2.76500,-0.56282
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",4.43197,0.09714,3.22305,0.08158,1.57190,1.41940,0.75239,0.43505,0.29970,-0.02385,0.32332,-0.73731,-1.39011,-3.33881,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",3.01577,0.07503,2.39077,0.06675,1.25027,0.92978,0.45077,0.14235,0.28449,0.05441,-0.30535,-0.61814,-0.91149,-2.32094,-0.96210
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",4.88825,0.10239,3.40337,0.08408,1.81418,1.53212,1.11027,0.46111,0.05547,0.23240,-0.13089,-0.91529,-1.30961,-3.49438,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",4.07331,0.08827,2.81862,0.06799,1.95630,1.00577,0.94229,0.14906,0.21042,-0.23950,-0.59081,-0.42191,-1.39328,-2.56310,-1.02944
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.16395,0.09523,3.16000,0.08407,1.54144,1.35712,0.67618,0.31646,0.15191,0.01589,0.13061,-0.57653,-1.23117,-3.15121,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",2.53525,0.05933,1.88736,0.06888,0.75162,0.44237,0.87279,-0.20762,0.60229,0.01628,0.10330,-0.21449,-0.98773,-2.15449,-0.93793
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",2.40307,0.06362,2.02263,0.07110,0.86121,0.79380,0.38411,0.04608,0.39187,-0.03077,0.08473,-0.43872,-0.90855,-1.96325,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",3.29890,0.07407,2.35864,0.07174,1.36953,0.94089,0.72754,0.15400,-0.07844,0.00145,0.06269,-0.56597,-1.13583,-2.25140,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",3.65642,0.08064,2.67977,0.08356,1.12565,1.08143,0.67976,0.35049,0.02167,-0.03226,0.15493,-0.38029,-0.67546,-3.02192,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW36)",2.27860,0.06253,1.98632,0.07342,0.93140,0.63305,0.41056,-0.11709,0.40860,-0.23202,0.17258,-0.40888,-0.77336,-1.84167,-1.40582
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",2.05181,0.05437,1.72710,0.06783,0.35335,0.61152,0.56698,0.30686,0.49424,-0.10492,0.01095,-0.11858,-0.85471,-2.06679,-0.93793
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",3.34232,0.06915,2.20125,0.06780,1.23256,1.11574,0.65665,0.02452,0.10108,0.24077,-0.20780,-0.53775,-0.95831,-2.40026,-0.93793
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",3.50646,0.07750,2.56972,0.07856,1.03998,1.13467,0.81821,0.14361,0.10789,0.26023,0.15428,-0.28284,-1.10208,-2.93871,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW36)",1.71705,0.05310,1.68577,0.06970,0.36698,0.65225,0.44363,-0.00333,0.58581,-0.12782,-0.00208,-0.04441,-0.83830,-1.83832,-1.37598
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",3.51831,0.07406,2.35674,0.07079,1.40601,1.01402,0.66671,0.17822,-0.01094,-0.02946,-0.11306,-0.70895,-0.74340,-2.42912,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW30)",3.52753,0.08152,2.70761,0.08585,1.10808,1.16851,0.80145,0.01095,0.29769,-0.07223,0.31008,-0.44520,-0.99762,-2.91294,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",1.91551,0.05804,1.84093,0.07194,0.63521,0.67465,0.29129,0.10884,0.39435,-0.17771,0.14763,-0.65000,-0.48550,-1.80803,-1.40582
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",3.67045,0.08846,2.94261,0.08828,1.32915,1.23988,1.17204,0.41217,0.14481,-0.08420,-0.36527,-0.30472,-1.41229,-2.78644,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",2.99185,0.07258,2.30841,0.07341,1.36647,1.06484,0.54929,-0.16158,0.15806,-0.09648,0.01452,-0.77686,-0.78989,-2.12437,-1.40582
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",3.17951,0.08022,2.66453,0.08768,1.11231,1.04316,0.72791,-0.05730,0.15018,0.10442,0.21765,-0.35462,-1.01859,-2.67629,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW24)",2.87337,0.06287,2.00228,0.06530,0.91204,0.75864,0.72903,0.00899,0.34729,-0.06284,0.25812,-0.52652,-0.87952,-2.31074,-0.85578
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26)",3.50736,0.07324,2.33488,0.06578,1.40562,0.93225,1.10295,0.02951,0.20854,-0.12870,-0.21277,-0.50771,-1.19056,-2.39810,-0.91637
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW30)",3.95262,0.08062,2.67435,0.07551,1.17630,1.00466,0.85662,0.64901,0.02185,0.14604,-0.25812,-0.33376,-0.69637,-3.22385,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",2.43164,0.06165,1.96240,0.06753,0.91117,0.78020,0.46228,-0.07477,0.30806,0.06991,-0.06439,-0.09208,-1.08885,-1.99959,-1.29420
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",3.52427,0.07726,2.46175,0.06880,1.60351,0.83071,1.05708,0.26241,-0.07150,-0.38523,0.14888,-0.56880,-1.39282,-2.26984,-1.01716
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",3.96086,0.08391,2.78654,0.08161,1.21284,0.99305,0.96655,0.68980,-0.21475,-0.02573,-0.20090,-0.23483,-0.66732,-3.21416,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW36)",2.56798,0.06578,2.09180,0.07051,1.09835,0.80206,0.41212,-0.06580,0.24294,-0.26381,0.10857,-0.38163,-0.82813,-1.95343,-1.32406
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",4.44779,0.08894,2.95659,0.08387,1.59430,0.91029,1.30650,0.34026,0.23560,-0.13339,-0.26803,-0.27320,-1.13507,-3.26024,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",3.16645,0.07583,2.41516,0.07150,1.50662,0.88746,0.84078,0.19473,-0.17760,-0.19055,-0.14553,-0.35967,-1.27534,-2.07969,-1.38436
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30,ROW36)",3.72067,0.08264,2.74459,0.08344,1.21943,0.85720,0.97170,0.44483,-0.07769,-0.17610,-0.10394,-0.03513,-0.76839,-3.06551,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",3.75427,0.07332,2.33616,0.06399,1.43643,1.08669,1.14310,-0.07371,0.05976,-0.03118,-0.11793,-0.58820,-1.04788,-2.60587,-0.91637
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW30)",3.90365,0.08205,2.71796,0.07580,1.15894,1.17881,0.97113,0.37700,0.33888,-0.08373,0.05427,-0.25633,-1.12594,-3.23640,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",2.40559,0.05738,1.82512,0.06556,0.69305,0.75569,0.51504,-0.13875,0.45278,-0.11917,-0.19483,-0.00083,-0.66094,-2.14393,-1.29420
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",4.12843,0.08863,2.94119,0.07945,1.44236,1.58953,0.83038,0.70083,0.00679,0.08708,-0.15381,-0.77049,-1.21060,-3.14955,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",3.34659,0.07169,2.28359,0.06629,1.37729,1.19650,0.66704,-0.04935,0.15604,-0.03497,-0.19021,-0.52727,-0.99995,-2.33566,-1.35452
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30,ROW36)",3.55705,0.08049,2.66659,0.07746,1.14953,1.09552,0.69361,0.38479,0.21921,-0.01772,0.07864,-0.36295,-1.02044,-2.94477,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",4.16369,0.09210,3.06137,0.08654,1.49688,1.39333,1.01505,0.55168,0.22661,-0.16279,-0.10757,-0.70807,-1.26744,-3.08699,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",3.47798,0.07640,2.43258,0.07029,1.57331,0.95740,0.82467,0.14284,0.06518,-0.44106,-0.26224,-0.40007,-0.92974,-2.32676,-1.38436
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30,ROW36)",3.44588,0.08419,2.79400,0.08566,1.19761,1.10785,0.79598,0.27516,0.28229,-0.07625,-0.12687,-0.37698,-0.97043,-2.85859,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",3.70354,0.09064,3.01347,0.08821,1.42463,1.31111,0.91209,0.56961,0.18874,-0.07797,-0.26260,-0.68646,-1.25647,-2.83208,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",3.38749,0.06975,2.22327,0.06737,1.09219,0.40316,0.82084,0.33556,0.41066,-0.20288,-0.10308,-0.16095,-0.89344,-2.63731,-0.59575
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",3.10289,0.07381,2.35330,0.06935,1.11760,0.66718,0.87340,0.02431,0.49007,-0.15497,-0.18894,-0.33003,-1.05967,-2.40331,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",3.64462,0.08359,2.66902,0.06975,1.49786,1.36236,0.72778,0.09575,0.11735,-0.05768,-0.30552,-0.53827,-1.35701,-2.47588,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",4.15362,0.08950,2.97332,0.08214,1.32423,1.41821,0.57764,0.21623,0.36280,-0.12533,-0.10557,-0.07888,-0.96375,-3.30563,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW36)",2.79165,0.07254,2.31139,0.07207,1.17808,0.54120,0.71350,0.03664,0.44630,-0.12744,-0.24370,-0.14109,-1.20820,-2.17897,-1.04874
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)",2.91121,0.06739,2.14559,0.06547,0.86392,0.72018,0.48838,0.68346,0.44545,-0.21990,-0.35071,-0.27017,-0.87168,-2.41081,-0.59575
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",3.83324,0.08109,2.58670,0.06574,1.55283,1.30945,0.79961,0.26703,0.08463,-0.14380,-0.31086,-0.61729,-1.22962,-2.60407,-0.59575
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",3.88899,0.08859,2.93675,0.07771,1.27667,1.36073,0.72017,0.17109,0.53971,0.07863,0.10065,-0.77488,-1.07083,-3.06566,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW36)",2.50925,0.06589,2.09684,0.06797,0.87282,0.69327,0.39194,0.42469,0.43340,-0.03861,-0.50899,-0.30649,-0.79823,-2.12089,-1.06222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",3.61885,0.08599,2.74481,0.06840,1.58041,1.35026,0.76957,0.21632,0.27242,-0.16178,-0.46806,-0.57716,-1.50335,-2.42253,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW30)",3.93750,0.09259,3.07460,0.08419,1.35913,1.55677,0.58152,0.18578,0.44680,-0.09930,0.17491,-0.63662,-1.23498,-3.06443,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW36)",2.24870,0.07079,2.25301,0.07033,1.00443,0.87324,0.32876,0.27377,0.48142,-0.00495,-0.39639,-0.61672,-1.06539,-1.92107,-1.04874
