Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,5.19706,0.09000,2.65888,0.07800,2.73800,1.42480,1.52366,0.75998,0.00214,-0.08166,0.41020,-0.98872,-1.67775,-2.76784,-1.27986
IQS Decile,-6.80942,-0.04702,-0.97604,0.07393,-0.50779,0.81320,0.46739,0.84511,1.26232,0.16252,1.67890,1.64467,0.89734,4.50466,-0.76357
AFG Investment Grade,2.94602,0.07297,2.05504,0.06639,1.13322,0.48024,-0.96632,-1.12247,-1.99724,#N/A,#N/A,#N/A,#N/A,#N/A,0.90059
AFG CO Grade Scaled,2.62255,0.07162,2.01052,0.07412,0.68554,0.30382,-0.73751,-0.58937,-2.13548,#N/A,#N/A,#N/A,#N/A,#N/A,0.90059
% Tgt Average,4.40647,0.11615,2.50865,0.08035,3.87546,3.08079,1.89327,1.22027,1.15117,0.22762,-0.37942,-0.38573,-0.65320,-1.26848,-0.72897
% Tgt +0,-0.55467,0.02465,0.71423,0.06971,-1.02038,-0.54232,-0.37344,0.45165,0.13703,0.24580,0.02279,-0.61818,-0.50317,-0.96955,1.09696
% Tgt +3 SectRank,-9.63277,-0.05616,-1.75597,0.07184,-6.15881,-2.38285,-0.38110,-0.14033,0.50924,-0.94343,0.37174,-0.49013,1.68060,3.18422,0.37862
Fin Sust,-0.98329,-0.01880,-0.32553,0.12451,-0.29784,1.75651,0.86979,1.82060,0.14814,2.62511,0.43136,-0.29064,0.02013,0.48496,-0.43401
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.02833
Economic Margin Momentum,4.27317,0.07396,2.14017,0.06980,2.31409,0.65874,-0.35356,-1.10536,-2.05748,#N/A,#N/A,#N/A,#N/A,#N/A,1.00076
Earnings Quality Decile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.02833
Price to 52 Week High,3.02455,0.07453,2.51016,0.12947,0.66831,0.82473,0.83943,0.53159,0.66595,0.54857,0.36853,-0.84793,-1.32684,-3.10366,#N/A
EBITDA/EV,-1.75620,-0.02155,0.18655,0.33860,-0.33923,4.09932,2.07439,-2.77025,-2.66552,-3.96627,-1.17709,-1.99902,4.56927,0.08893,-0.04647
 Sector    Name,-2.80241,#N/A,#N/A,#N/A,-2.56466,-0.27727,-0.33842,0.37021,-0.90369,-0.64125,3.69439,-1.94800,3.85173,-0.32929,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.02833
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",3.45245,0.07709,2.45793,0.06291,1.19442,1.07583,0.58617,0.25537,0.33843,0.08716,-0.44713,-0.59780,-0.85075,-2.66468,-0.49515
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",2.32975,0.05937,1.88476,0.06952,0.69613,0.57945,0.46426,0.18773,0.47945,-0.15664,0.11445,-0.51426,-0.62496,-2.04154,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",2.99135,0.06712,2.13588,0.06775,1.07607,0.86512,0.57007,0.01161,0.17587,-0.09221,0.08654,-0.50457,-0.71199,-2.27362,-0.95663
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",2.68145,0.05901,1.87800,0.06331,0.70330,0.63755,0.77415,0.32762,0.04631,0.03231,-0.01568,-0.15174,-0.87333,-2.33173,-0.85578
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",2.97261,0.06390,2.03191,0.06544,1.04370,0.61637,0.74951,0.05567,0.08128,-0.12288,-0.04371,-0.38257,-0.56073,-2.29308,-0.95663
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",3.83114,0.07821,2.49111,0.06729,1.71791,0.88837,1.03501,0.23284,-0.02599,-0.37433,-0.10065,-0.58810,-1.10400,-2.44856,-1.01716
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30)",3.88209,0.08590,2.85036,0.08375,1.20323,1.16784,0.90877,0.38468,0.42658,-0.05525,-0.07804,-0.57023,-0.89346,-3.17290,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW36)",2.38137,0.06211,1.97340,0.06852,0.90273,0.76284,0.46115,-0.09883,0.25058,-0.23008,-0.05941,-0.42737,-0.48593,-1.96963,-1.32406
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",2.82184,0.07236,2.30472,0.06730,0.92514,0.92106,0.50998,0.46276,0.35841,0.08124,-0.38799,-0.56562,-0.92645,-2.39935,-0.58220
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",3.56614,0.07749,2.47271,0.06577,1.29259,0.90929,0.82194,-0.02597,0.56651,-0.27820,-0.13598,-0.44538,-0.99151,-2.66770,-0.49515
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",3.63747,0.07226,2.30351,0.06051,1.24674,0.78135,0.48247,0.48371,0.46636,0.07327,-0.43649,-0.47704,-0.84012,-2.72081,-0.50872
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",3.45245,0.07709,2.45793,0.06291,1.19442,1.07583,0.58617,0.25537,0.33843,0.08716,-0.44713,-0.59780,-0.85075,-2.66468,-0.49515
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",4.41584,0.09034,2.88564,0.06418,1.96558,1.10175,1.14285,0.22023,0.23330,-0.27497,-0.48948,-0.51683,-1.53199,-2.76500,-0.56282
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",4.43197,0.09714,3.22305,0.08158,1.57190,1.41940,0.75239,0.43505,0.29970,-0.02385,0.32332,-0.73731,-1.39011,-3.33881,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW36)",3.01577,0.07503,2.39077,0.06675,1.25027,0.92978,0.45077,0.14235,0.28449,0.05441,-0.30535,-0.61814,-0.91149,-2.32094,-0.96210
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",2.40307,0.06362,2.02263,0.07110,0.86121,0.79380,0.38411,0.04608,0.39187,-0.03077,0.08473,-0.43872,-0.90855,-1.96325,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",2.05181,0.05437,1.72710,0.06783,0.35335,0.61152,0.56698,0.30686,0.49424,-0.10492,0.01095,-0.11858,-0.85471,-2.06679,-0.93793
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",2.32975,0.05937,1.88476,0.06952,0.69613,0.57945,0.46426,0.18773,0.47945,-0.15664,0.11445,-0.51426,-0.62496,-2.04154,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",3.51831,0.07406,2.35674,0.07079,1.40601,1.01402,0.66671,0.17822,-0.01094,-0.02946,-0.11306,-0.70895,-0.74340,-2.42912,-1.03869
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",3.52753,0.08152,2.70761,0.08585,1.10808,1.16851,0.80145,0.01095,0.29769,-0.07223,0.31008,-0.44520,-0.99762,-2.91294,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW36)",1.91551,0.05804,1.84093,0.07194,0.63521,0.67465,0.29129,0.10884,0.39435,-0.17771,0.14763,-0.65000,-0.48550,-1.80803,-1.40582
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",2.87337,0.06287,2.00228,0.06530,0.91204,0.75864,0.72903,0.00899,0.34729,-0.06284,0.25812,-0.52652,-0.87952,-2.31074,-0.85578
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",2.99135,0.06712,2.13588,0.06775,1.07607,0.86512,0.57007,0.01161,0.17587,-0.09221,0.08654,-0.50457,-0.71199,-2.27362,-0.95663
