Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,2.50126,0.04507,1.45065,0.08086,1.09971,0.97038,0.70466,0.45486,0.36382,0.18228,0.35537,0.27093,-0.63031,-1.49792,-0.99988
IQS Decile,2.74040,0.04501,1.44909,0.07995,1.20182,0.83866,0.93917,1.05756,0.28599,0.14074,0.05656,0.11568,-0.19006,-1.66351,-0.99988
AFG Investment Grade,1.30697,0.02653,0.85706,0.05486,0.88704,0.40717,0.24315,-0.07645,-0.46256,#N/A,#N/A,#N/A,#N/A,#N/A,-1.31895
AFG CO Grade Scaled,1.36451,0.02766,0.89010,0.04866,1.03441,0.48521,0.17838,-0.15115,-0.37433,#N/A,#N/A,#N/A,#N/A,#N/A,-1.32028
% Tgt Average,0.38150,0.02652,0.87018,0.07221,0.02477,0.30314,0.09171,0.28034,0.79516,0.47507,0.09872,0.63491,-0.14637,-0.45793,-1.42218
% Tgt +0,0.35789,0.02624,0.86398,0.06703,0.36301,-0.02135,-0.11161,0.57478,-0.07665,0.11755,1.01678,0.65403,-0.38157,-0.10732,-1.72206
% Tgt +3 SectRank,1.07604,0.03264,1.06924,0.06375,0.55820,0.37796,0.44598,0.31548,0.35048,0.59910,0.36911,-0.47178,-0.02627,-0.56921,-1.69514
Fin Sust,1.27904,0.01987,0.63982,0.08508,1.26601,0.53684,0.36660,0.18770,-0.32244,0.16301,0.20444,0.12583,-0.15540,-0.08418,-0.99988
RONA,0.23545,0.02626,0.82560,0.05786,0.17264,-0.07907,0.30663,0.31484,0.15206,0.54639,0.52192,0.10914,0.12472,-0.18139,-1.32218
Economic Margin Momentum,1.72876,0.02893,0.93363,0.04973,0.84232,0.51168,0.66461,0.16877,-0.93249,#N/A,#N/A,#N/A,#N/A,#N/A,-1.66383
Earnings Quality Decile,-0.09731,0.02356,0.68823,0.05188,-0.35630,0.64859,0.15192,0.51942,-0.19284,0.19652,-0.02925,-0.24559,-1.18275,-0.49693,0.39948
Price to 52 Week High,2.04716,0.04672,1.59411,0.09536,0.24612,0.18353,0.91145,0.89058,0.56745,0.48409,0.68789,-0.52296,-0.58823,-2.10305,#N/A
EBITDA/EV,0.05102,-0.03538,-1.04272,0.08504,-0.12156,-0.10082,-1.74888,-0.04082,-0.04747,0.58570,0.42144,0.37208,0.38381,-0.37631,0.49709
 Sector    Name,2.73223,#N/A,#N/A,#N/A,1.37380,0.53973,-5.77544,0.58279,2.10610,-0.19407,-0.59518,-1.46493,1.51868,-1.64994,#N/A
POE Screen,-1.12410,0.03297,1.01217,0.05741,0.06394,1.15317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.80744
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",1.81658,0.04390,1.48471,0.06501,1.09264,0.52509,0.61589,-0.14392,0.44240,0.14572,0.39992,-0.59695,-0.18660,-0.79907,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",1.90047,0.04569,1.54452,0.06619,1.22190,0.45283,0.86261,0.21507,0.13230,-0.00495,-0.05191,-0.59322,-0.00476,-0.75127,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",1.43318,0.04308,1.45308,0.06379,0.77513,0.90846,0.60030,0.34133,0.18427,0.20893,-0.14892,-0.36211,-0.26551,-0.74150,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",2.03312,0.04537,1.53326,0.07313,1.23950,0.44087,0.55377,0.53037,0.68755,0.07475,-0.32740,-0.76798,-0.09446,-0.87106,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",1.25754,0.04769,1.60612,0.06520,0.69413,0.85567,0.42559,0.47220,0.38593,0.39917,-0.14680,-0.74887,-0.24413,-0.63437,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",1.43433,0.04715,1.59015,0.06763,0.80684,1.27290,0.31803,0.44201,0.24977,0.43549,0.06089,-0.83871,-0.58654,-0.69721,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30)",2.13751,0.05718,1.95739,0.07181,1.36798,0.62894,0.57136,0.41227,0.43396,0.40577,-0.04395,-1.04545,-0.92353,-0.87932,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW36)",1.54843,0.04887,1.66679,0.07395,0.91245,0.68090,0.80911,0.03211,-0.05650,0.32662,0.25210,-0.94512,-0.48495,-0.70803,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",1.64998,0.04299,1.45535,0.06494,1.08199,0.53475,0.27178,0.35241,0.25802,-0.10288,0.25772,-0.52443,-0.02189,-0.63380,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",1.63468,0.04197,1.41766,0.06217,0.99730,0.60051,0.52082,0.31730,0.08669,-0.12232,0.25642,-0.01412,-0.43422,-0.71247,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",1.54817,0.04362,1.47543,0.06995,1.10553,0.62549,0.59751,0.05143,0.21073,0.41650,-0.21755,-0.35258,-0.45366,-0.50977,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",1.20707,0.04543,1.53257,0.06320,0.79019,0.65531,0.45721,0.25932,0.29019,0.05011,-0.05693,0.10592,-0.59796,-0.48226,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",1.73269,0.04612,1.55731,0.06490,1.01146,0.91793,0.25984,0.53099,0.42267,-0.27313,0.13093,-0.18686,-0.52338,-0.78248,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",2.17096,0.05469,1.87394,0.06730,1.29957,0.58236,0.47383,0.14823,0.46145,0.68393,-0.49838,-0.36398,-0.88804,-0.96658,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW36)",1.45349,0.04717,1.61102,0.07179,0.95999,0.58654,0.11092,0.32159,0.16511,0.30100,0.06084,-0.16227,-0.95640,-0.55916,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",1.79720,0.04342,1.46633,0.06315,1.12874,0.69928,0.51849,0.40355,0.01237,-0.12653,0.04659,-0.30613,-0.16065,-0.74188,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",1.86832,0.04514,1.52643,0.07123,1.35350,0.45364,0.51287,0.29312,0.49933,0.15627,-0.48883,-0.62551,-0.11860,-0.58719,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",1.37168,0.04709,1.58812,0.06401,0.94824,0.78661,0.28584,0.40752,0.41057,-0.15065,0.24026,-0.55930,-0.41838,-0.49203,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",1.73661,0.04784,1.61509,0.06595,1.08308,0.89336,0.41623,0.69605,0.16969,0.06357,-0.24845,-0.37000,-0.51271,-0.71091,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",2.24306,0.05662,1.94010,0.06846,1.40485,0.62797,0.59933,0.28116,0.66004,0.24921,-0.28709,-0.84751,-0.79088,-0.93948,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW36)",1.70615,0.04843,1.65362,0.07259,1.05122,0.64131,0.20949,0.32411,0.15318,0.17513,0.24461,-0.71966,-0.50488,-0.72405,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",1.74373,0.04336,1.46353,0.06939,1.00351,0.85152,0.09904,0.86387,0.24864,-0.01604,-0.13125,-0.46746,-0.19068,-0.81757,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",1.39656,0.04489,1.51140,0.06258,0.75841,1.13817,-0.04673,0.29708,0.74132,-0.20780,0.41468,-0.81447,-0.07941,-0.70852,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",1.49322,0.04416,1.48806,0.06371,0.88058,0.67833,0.70782,0.45305,-0.00614,0.56414,0.15034,-0.56918,-0.71220,-0.67674,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",2.17918,0.05313,1.81780,0.06796,1.23068,0.53781,0.59606,0.47841,0.28125,0.42697,-0.08276,-0.75930,-0.71318,-1.05821,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW36)",1.51942,0.04628,1.57639,0.06945,0.86712,0.93186,0.09950,0.14347,0.55203,-0.07198,0.12133,-0.58024,-0.49980,-0.72159,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",1.51369,0.04739,1.59717,0.06866,1.06095,0.56752,0.42931,0.34961,0.56413,0.25584,-0.18047,-0.51558,-0.55330,-0.52617,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",2.04248,0.04754,1.60454,0.07335,1.17569,0.82971,0.41414,0.43007,0.69045,0.31766,-0.46601,-0.40435,-0.58390,-0.94154,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",2.09828,0.05648,1.93569,0.07414,1.28956,0.58043,0.71873,0.64065,0.59558,0.26061,-0.44611,-0.88088,-0.90045,-0.93030,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",1.78476,0.04727,1.61278,0.07762,1.16204,0.76677,0.47756,0.00868,0.31997,0.32198,-0.13076,-0.88749,-0.50021,-0.70222,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",1.44056,0.04862,1.63688,0.06588,0.97820,0.76364,0.20853,0.73716,0.48990,0.02035,-0.08567,-0.09205,-1.02486,-0.52539,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",1.74260,0.05716,1.95440,0.07067,0.68777,0.83187,0.86914,0.54020,0.33958,0.50032,-0.25042,-0.61372,-0.83028,-1.15673,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW36)",1.17813,0.05045,1.71604,0.06971,0.61728,0.60854,0.75756,0.67193,-0.03946,-0.09714,0.17147,-0.36243,-0.83524,-0.61992,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",2.16056,0.05652,1.93358,0.07128,1.07135,1.10077,0.48054,0.35530,0.33421,0.58709,-0.04670,-0.82104,-0.95898,-1.18834,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",1.79922,0.05037,1.71524,0.07264,0.96673,0.81716,0.36177,0.69138,0.35663,0.00311,-0.15574,-0.58968,-0.72473,-0.89531,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30,ROW36)",2.01859,0.05690,1.95169,0.07543,1.08611,0.96621,0.62137,0.23467,0.50665,0.08343,-0.12454,-0.68995,-0.70521,-1.02028,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",1.80149,0.04157,1.40552,0.06244,1.02693,0.41949,0.88269,-0.15973,0.16091,-0.01854,0.12667,-0.29398,0.14554,-0.83967,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",1.59260,0.04316,1.46106,0.06914,1.10913,0.69330,0.25926,0.15412,0.33018,0.27823,-0.04117,-0.66232,-0.10973,-0.54669,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",1.39829,0.04452,1.50382,0.06310,0.85975,0.66448,0.40413,0.03102,0.52110,-0.16320,0.05707,-0.18905,-0.12319,-0.59206,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",1.67823,0.04556,1.53980,0.06436,0.92064,0.99733,0.28393,0.25105,0.58717,0.13970,-0.70899,-0.07158,-0.09704,-0.81156,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",2.03891,0.05348,1.83390,0.06524,1.22226,0.73391,0.31887,0.43467,0.24318,0.26487,-0.35421,-0.32558,-0.68734,-0.90687,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",1.79240,0.04628,1.58180,0.07100,1.04753,0.37338,0.21950,0.43038,0.02597,0.28116,-0.01235,-0.21861,-0.49733,-0.82582,0.84997
