Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",1.45394,0.04227,1.42833,0.06714,0.96548,0.75308,0.44794,0.14326,0.50377,-0.11222,-0.06988,-0.20354,-0.40403,-0.55316,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",1.19290,0.04337,1.46195,0.06126,0.74112,0.76798,0.15649,0.55177,0.28254,0.09148,-0.17500,0.09683,-0.50443,-0.51654,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",1.52507,0.04363,1.47186,0.06202,0.82059,0.97509,0.52601,0.08653,0.40714,-0.14149,0.23972,-0.15111,-0.50571,-0.76672,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",2.08235,0.05175,1.77178,0.06466,1.22141,0.56632,0.56027,0.08412,0.74097,0.15511,-0.29452,-0.39612,-0.73641,-0.95631,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",1.56867,0.04528,1.54408,0.06824,0.96982,0.64047,0.12644,0.32460,0.33697,-0.03432,-0.01211,-0.03992,-0.77354,-0.67332,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",1.51816,0.04551,1.53551,0.06660,1.02923,0.60430,0.23127,0.22783,0.66057,-0.03161,0.30754,-0.68696,-0.31641,-0.54987,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",1.70866,0.04632,1.56456,0.06997,1.02223,1.06704,0.25709,0.27966,0.63129,0.29732,-0.57790,-0.36722,-0.39473,-0.75822,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",1.90323,0.05439,1.86467,0.07010,1.17270,0.95595,0.29101,0.41653,0.55259,0.13326,-0.04719,-0.96705,-0.74521,-0.83146,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",1.59198,0.04583,1.56544,0.07535,0.95712,0.81162,0.11571,0.11343,0.34116,0.12898,0.00337,-0.13664,-0.80108,-0.71139,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",1.12645,0.04741,1.59785,0.06359,0.86718,0.85553,0.14669,0.32495,0.35395,0.71874,-0.38215,-0.33361,-0.77103,-0.31833,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",1.74041,0.05490,1.87822,0.06627,0.98200,0.72483,0.70164,0.08664,0.32951,0.27042,-0.11131,-0.22839,-0.96365,-0.85642,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",1.07923,0.04830,1.64549,0.06862,0.72634,0.43798,0.87455,-0.22669,0.05219,0.17934,0.44055,-0.29555,-0.91892,-0.41835,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",2.10784,0.05565,1.90499,0.06737,1.13439,0.86193,0.49981,0.33909,0.40478,0.30679,0.07916,-0.84677,-0.77852,-1.06774,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",1.78657,0.04928,1.68004,0.07088,1.06412,0.70941,0.25820,0.29212,0.22324,0.38634,-0.08850,-0.34307,-0.86924,-0.79292,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",1.97503,0.05482,1.88285,0.07226,1.25337,0.84035,0.08963,-0.04650,0.58260,0.52623,-0.25761,-0.07275,-1.16139,-0.81856,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",1.82907,0.04365,1.47457,0.06832,1.19504,0.59697,0.58949,0.13721,0.20165,0.46002,-0.51018,-0.49842,-0.00397,-0.70071,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",1.22618,0.04485,1.51189,0.06202,0.62225,1.10042,0.19885,0.43918,0.27206,-0.07696,0.15181,-0.41369,-0.15030,-0.66944,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",1.57938,0.04518,1.52383,0.06305,0.95438,0.78556,0.72847,0.34301,0.33405,-0.34466,0.11991,-0.17360,-0.58461,-0.67698,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",2.24458,0.05332,1.82566,0.06577,1.35128,0.51786,0.51514,0.38844,0.42090,0.19749,-0.30841,-0.46272,-0.69620,-0.98983,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW36)",1.62385,0.04660,1.58861,0.06885,0.91850,0.95854,-0.12728,0.69990,-0.10732,0.27901,-0.14539,-0.46238,-0.41078,-0.78608,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",1.85655,0.04674,1.57686,0.06780,1.17489,0.57749,0.18323,0.32333,0.56160,0.39438,-0.10987,-0.83364,-0.04741,-0.75278,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",2.07282,0.04781,1.61461,0.07117,1.29394,0.53748,0.33941,0.65407,0.70376,0.18808,-0.63250,-0.57172,-0.20549,-0.85132,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",2.08897,0.05582,1.91405,0.07139,1.28030,0.80823,0.27531,0.62391,0.87830,0.11697,-0.46604,-1.01003,-0.65581,-0.92334,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW36)",1.93408,0.04703,1.60575,0.07624,1.20604,0.84299,-0.01503,0.22722,0.25664,0.18737,0.00471,-0.76342,-0.32737,-0.79809,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",1.37186,0.04896,1.65004,0.06443,0.90600,0.86094,0.24735,0.42499,0.64258,0.11522,-0.17339,-0.33189,-0.71280,-0.52362,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW30)",1.86642,0.05665,1.93857,0.06715,1.04310,0.69071,0.64462,0.43821,0.40440,0.10452,-0.03186,-0.49607,-0.94357,-0.91254,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",1.07373,0.04972,1.69353,0.06915,0.69758,0.74462,0.68265,0.13359,0.01171,0.01595,0.31489,-0.41683,-0.88527,-0.44204,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",2.21143,0.05720,1.95838,0.06836,1.30006,0.72131,0.75108,0.13755,0.74875,0.09464,-0.08281,-0.81949,-0.89836,-1.01212,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",1.97724,0.05085,1.73303,0.07152,1.20919,0.67108,0.16440,0.50186,0.49002,0.06110,-0.06095,-0.72796,-0.63194,-0.83625,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",2.27721,0.05639,1.93670,0.07303,1.49042,0.57967,0.25713,0.19591,0.56277,0.39444,-0.40218,-0.16398,-1.09648,-0.87623,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW24)",1.53896,0.04534,1.52725,0.06673,1.03255,0.69777,0.07815,0.56574,0.58586,0.11371,0.05707,-0.71726,-0.35114,-0.57338,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26)",1.70673,0.04500,1.51756,0.06925,0.96918,0.90003,0.44876,0.19577,0.52896,0.37711,0.09574,-0.65709,-0.60531,-0.80433,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW30)",2.01285,0.05343,1.82984,0.07085,1.14980,0.57782,0.70565,0.55369,0.54791,0.32684,-0.25703,-1.06685,-0.63440,-0.97487,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",1.87802,0.04575,1.55870,0.07352,1.09475,0.90659,0.10985,0.40449,0.16362,-0.08484,-0.07308,-0.62576,-0.21372,-0.85268,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",1.47653,0.04559,1.53414,0.06299,0.88031,0.69624,0.27460,0.69442,0.23547,0.02122,0.31049,-0.22481,-0.75097,-0.66195,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",1.38410,0.05391,1.84285,0.06752,0.57969,1.14864,0.61351,0.35100,0.11549,0.65367,-0.07061,-0.39714,-1.15076,-0.90712,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW36)",1.28903,0.04805,1.63351,0.06715,0.71084,0.80325,0.46811,0.35799,-0.06664,0.06384,0.36962,-0.51359,-0.70542,-0.65145,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",2.07297,0.05309,1.81532,0.06769,0.99605,0.75481,0.71061,0.42013,0.48697,-0.09985,0.50456,-0.66650,-0.97536,-1.16267,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",1.69297,0.04769,1.62198,0.06839,0.92328,0.59238,0.46251,0.61348,-0.00887,0.11658,0.32172,-0.44843,-0.89930,-0.82164,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30,ROW36)",1.97359,0.05376,1.84293,0.07187,1.11170,0.93071,0.26577,0.57941,0.14332,0.13903,0.07267,-0.39894,-0.93975,-0.96407,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",1.36405,0.04915,1.65606,0.06998,0.84345,0.81389,0.43489,0.52625,0.72050,0.21704,-0.03243,-0.77550,-0.74246,-0.59124,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW30)",1.39325,0.05689,1.94689,0.07159,0.62287,0.95749,0.83805,0.56166,0.50676,0.28047,0.01136,-0.91974,-1.08067,-0.85854,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",1.35637,0.04932,1.67822,0.07222,0.69088,0.78744,0.86928,0.01164,0.20755,0.20263,-0.17439,-0.27009,-0.71546,-0.74412,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",2.10089,0.05678,1.94498,0.07406,1.14113,0.73789,0.81193,0.53307,0.43250,0.32055,-0.13371,-0.87063,-0.97006,-1.06469,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",2.09527,0.04974,1.69448,0.07659,1.09373,0.68326,0.61234,0.48539,0.31437,0.00412,-0.12725,-0.84115,-0.32401,-1.07318,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30,ROW36)",2.07217,0.05578,1.91510,0.07727,1.15073,0.95360,0.75119,0.38643,0.35863,-0.19402,-0.12041,-0.58655,-0.73378,-1.02717,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",1.73707,0.05702,1.94926,0.07073,0.81199,0.75892,0.70724,0.89990,-0.03113,0.40514,0.03785,-0.42469,-1.20386,-1.03731,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",1.32074,0.05166,1.75591,0.06972,0.86887,0.73823,0.60983,0.20355,0.41827,-0.14135,0.11640,-0.17518,-1.27729,-0.51310,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30,ROW36)",1.70555,0.05706,1.95428,0.07312,0.73141,0.82683,0.79489,0.48180,0.31597,0.25406,-0.34316,-0.41639,-0.64614,-1.07787,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",2.42258,0.05717,1.95941,0.07468,1.27721,0.63786,0.96575,0.26342,0.20639,0.21904,-0.17178,-0.40407,-0.83644,-1.21896,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",1.76402,0.04200,1.42050,0.06677,1.14124,0.55820,0.61878,-0.15329,0.42387,-0.01187,-0.00578,-0.47900,0.05997,-0.67817,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",1.45392,0.04303,1.45244,0.06138,0.85940,0.69538,0.23088,0.51800,0.14543,-0.40360,0.15929,0.20913,-0.29522,-0.64781,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",1.38008,0.04360,1.47205,0.06197,0.79168,0.84204,0.60194,0.31765,0.08375,0.09526,-0.20500,-0.02750,-0.37460,-0.64989,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",1.97010,0.05111,1.75117,0.06340,1.25040,0.49226,0.41823,0.65101,-0.19569,0.40647,-0.28583,-0.10205,-0.89566,-0.80404,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW36)",1.74649,0.04495,1.53386,0.06810,0.98131,0.60626,0.09904,0.44626,-0.03939,0.02856,0.18850,-0.35998,-0.28316,-0.84363,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)",1.39815,0.04473,1.51083,0.06624,0.98905,0.76750,0.09492,0.13512,0.36145,0.41950,-0.18695,-0.31473,-0.34721,-0.47638,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",1.89238,0.04610,1.55823,0.06880,1.21162,0.64827,0.36634,0.27626,0.53130,0.05419,-0.04054,-0.64977,-0.18713,-0.74392,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",2.13725,0.05332,1.82925,0.06836,1.35625,0.71938,0.53553,-0.07734,0.59688,0.25256,0.07442,-1.15693,-0.48599,-0.86438,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW36)",1.76952,0.04549,1.55477,0.07432,1.00465,0.55774,0.32221,0.17779,0.21518,0.25787,-0.18764,-0.40141,-0.28629,-0.83254,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",1.48216,0.04680,1.57907,0.06295,1.00553,0.83344,0.09340,0.24888,0.61895,0.02175,-0.14933,-0.40137,-0.25282,-0.53585,-2.40067
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW30)",1.82414,0.05383,1.84332,0.06426,0.97158,0.74167,0.53319,0.11345,0.37180,0.31553,-0.45509,-0.03302,-0.68605,-0.93923,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW36)",1.19038,0.04748,1.61926,0.06833,0.71682,0.56339,0.53807,0.07065,-0.07467,0.01291,0.46642,-0.14990,-0.77762,-0.54571,0.84997
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",1.97278,0.05502,1.88492,0.06536,1.20733,0.88749,0.57023,0.07463,0.29954,0.55638,-0.36556,-0.38816,-1.03556,-0.84638,#N/A
