Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",4.03204,0.08980,3.01507,0.06226,3.19873,0.43964,-0.19776,0.34040,-0.55467,-1.53487,-1.16524,-2.03421,-1.60412,-1.11789,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",3.50869,0.09107,3.07430,0.06294,2.21917,1.64383,-0.45046,0.23818,-0.41275,-0.65951,-1.42379,-2.28282,-1.48533,-1.62002,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",3.77128,0.09382,3.15168,0.06486,3.14012,1.32802,-0.49933,-0.11396,-0.69483,-1.16003,-1.52809,-2.00577,-1.85192,-0.93665,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",3.73520,0.08984,3.01361,0.06144,3.59480,0.75639,-0.22135,-0.11676,-1.18206,-1.32578,-1.36859,-1.53365,-2.36539,-0.52306,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",1.53755,0.08527,2.93951,0.10293,2.16385,0.98532,-0.22021,-0.77821,-1.24970,-1.31097,-1.39508,-1.59466,-1.99444,-0.22843,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW36)",3.07068,0.09386,3.19299,0.07801,3.08549,0.94668,-0.34004,-0.25840,-1.79881,-0.79792,-1.39314,-2.09864,-1.70813,-0.54909,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",4.29118,0.08720,2.94585,0.06525,2.79445,0.15652,-0.01933,0.51919,-0.53160,-1.37026,-1.37399,-0.63060,-1.93710,-1.85142,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",4.69637,0.08911,2.99735,0.07115,3.42345,0.60215,-0.59168,-0.12621,-0.41884,-1.85863,-1.62179,-0.64859,-1.42529,-1.62220,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",4.01415,0.08304,2.78928,0.06884,3.61245,0.25966,-0.23443,-0.81661,-0.33464,-1.50756,-1.50834,-1.18220,-1.76078,-0.84491,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",2.02268,0.07954,2.74643,0.11167,1.94308,1.03274,-0.38706,-0.89221,-1.18908,-1.65926,-1.15636,-1.74247,-0.67209,-0.94376,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW36)",3.37613,0.08998,3.06454,0.08434,3.27075,0.27217,-0.03491,-0.79671,-0.90239,-1.95229,-1.06845,-1.70157,-1.29516,-0.75168,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",3.89591,0.09256,3.13035,0.07006,2.46626,1.01859,0.37065,-0.03112,-1.16238,-0.66966,-1.13428,-1.68126,-1.61691,-1.80832,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",3.83977,0.08537,2.87994,0.06384,2.75007,0.95887,0.18045,-0.86484,-0.02892,-1.38302,-1.25193,-1.66499,-1.47428,-1.46062,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",1.84920,0.08290,2.86490,0.11258,1.77016,0.75090,0.15324,-0.50838,-1.05212,-1.17598,-1.89109,-1.47594,-1.29337,-0.91755,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",3.01682,0.09296,3.17790,0.08389,2.35033,1.38636,-0.23274,-0.67544,-0.96418,-1.00811,-1.88532,-1.38953,-1.34991,-1.23048,-6.71084
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",3.50412,0.08760,2.94367,0.07207,3.24738,1.10106,-0.35136,-0.99246,-0.51183,-1.30484,-1.75303,-1.26492,-1.81019,-0.72759,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",0.99235,0.08098,2.80687,0.12482,1.52265,1.05199,0.03386,-0.95086,-1.26207,-1.23596,-2.06884,-1.45754,-0.88695,-0.45012,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW36)",2.89451,0.09366,3.19747,0.09181,3.00268,0.62827,0.00403,-0.65319,-1.47408,-1.32994,-1.84244,-1.35184,-1.34628,-0.67084,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",0.92118,0.07628,2.63815,0.11949,1.70821,1.03915,-0.18392,-0.76801,-1.08346,-1.97168,-1.22611,-1.76310,-1.21539,-0.19800,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",2.39670,0.08861,3.01773,0.08724,3.08000,0.48154,0.14194,-0.65915,-1.58023,-1.51728,-1.64191,-1.37755,-1.82730,-0.05665,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30,ROW36)",0.30839,0.08135,2.82794,0.13178,1.80079,0.80946,-0.34969,-0.67561,-1.52298,-1.45702,-1.69015,-1.92129,-1.14739,0.28893,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",4.08360,0.09060,3.05749,0.05994,3.06090,0.51610,0.11632,-0.32219,-0.62342,-1.25387,-0.88101,-1.73131,-2.03352,-1.31365,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",3.48538,0.09294,3.14257,0.06191,2.30437,1.43452,-0.00900,0.14842,-0.79039,-0.91330,-0.99158,-1.46424,-2.59955,-1.48257,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",3.34988,0.09372,3.16407,0.06243,2.87984,1.30859,-0.41398,-0.12047,-0.88734,-1.17252,-1.08924,-1.32599,-2.91560,-0.81223,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",4.07588,0.09105,3.07044,0.05940,3.56011,0.60901,-0.29865,-0.32735,-0.88981,-0.84755,-1.39597,-1.39512,-2.66307,-0.84459,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",2.32603,0.08938,3.07595,0.09438,2.51264,0.48225,0.33714,-0.93027,-1.14455,-1.16823,-1.25917,-1.72094,-2.18468,-0.52615,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",2.38172,0.09404,3.20397,0.07309,2.80771,1.10779,-0.22428,-0.39732,-1.13438,-1.68475,-1.06092,-1.51197,-2.65075,-0.12665,-8.46819
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",4.31328,0.09103,3.08040,0.06367,2.86962,0.46839,-0.19522,0.53931,-0.51576,-1.38697,-1.55866,-0.68456,-2.13397,-1.74177,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",4.25804,0.09134,3.08712,0.06685,3.45389,0.56075,-0.72345,0.39264,-0.82731,-1.84772,-1.21913,-0.89973,-2.19471,-1.16965,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",3.86029,0.08669,2.92699,0.06504,3.50467,0.47628,-0.57398,-0.18237,-0.51226,-1.82624,-0.90503,-1.44510,-2.21285,-0.80652,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",2.38511,0.08550,2.94749,0.10295,2.35832,0.50170,-0.10611,-0.78128,-0.87049,-1.33036,-1.42842,-1.77591,-1.36099,-0.82514,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",3.15198,0.09200,3.13807,0.07842,3.46494,0.12163,-0.11914,-0.40856,-1.25885,-1.43990,-1.64315,-1.02306,-2.27582,-0.32603,-8.46819
