Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
 Sector    Name,-1.68682,#N/A,#N/A,#N/A,-1.39122,0.32607,4.28917,-1.13166,-0.78073,0.69231,-0.34196,1.44096,1.73717,-0.03810,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.06841
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",4.47696,0.08705,2.93788,0.07914,2.23706,2.01864,0.54877,0.55278,0.57563,-0.55537,-1.19646,-0.70293,-1.72435,-2.32258,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",4.68045,0.08697,2.91195,0.08917,2.42231,1.75086,0.77075,0.44460,0.25936,-0.45125,-0.93922,-0.95173,-1.58076,-2.35387,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",4.95162,0.08341,2.78580,0.08193,2.25958,2.03114,0.29297,0.65045,-0.19508,-0.07778,-0.71663,-0.74305,-1.28098,-2.81027,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",5.58250,0.09533,3.21950,0.08184,2.27318,2.33988,0.78695,0.66897,-0.17749,-0.05942,-0.78932,-0.64095,-1.50735,-3.39871,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",5.03323,0.08924,2.98469,0.08593,2.52797,2.09626,0.61478,0.28130,-0.11490,-0.12708,-0.87070,-0.99181,-1.43162,-2.62766,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",5.24566,0.08449,2.81996,0.08052,2.80591,1.45527,1.05844,0.08141,-0.37450,-0.16459,-0.75194,-0.53191,-1.59986,-2.52409,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30)",4.81421,0.08638,2.96244,0.09257,1.97918,2.50655,0.60414,0.03361,0.29043,-0.77377,-0.64934,-0.73257,-1.13740,-3.06820,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW36)",4.97288,0.09603,3.26456,0.08849,2.31793,2.51863,0.31121,0.70217,-0.19082,0.29040,-1.02956,-1.17446,-1.86801,-2.82940,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",4.58181,0.08402,2.83751,0.08149,2.14882,1.66038,0.80808,0.69627,0.21024,-0.30794,-1.02548,-0.86278,-1.39683,-2.50122,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",4.89197,0.08281,2.79305,0.07652,2.17918,1.63822,0.51077,1.20209,0.00651,-0.78694,-0.42776,-0.90296,-1.14884,-2.78862,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",5.29092,0.09292,3.14459,0.07811,2.37982,1.76759,0.98541,0.98520,0.21223,-0.39263,-1.18286,-0.99193,-1.29558,-2.97665,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",4.47696,0.08705,2.93788,0.07914,2.23706,2.01864,0.54877,0.55278,0.57563,-0.55537,-1.19646,-0.70293,-1.72435,-2.32258,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",4.91417,0.08539,2.87934,0.07636,2.40441,1.79182,0.72159,0.64280,0.03168,-0.45624,-0.83728,-0.89401,-1.36302,-2.58426,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",5.38233,0.08885,3.04350,0.08815,2.19833,2.06195,0.85866,0.24487,-0.34215,0.17926,-0.59030,-1.40571,-0.78093,-3.37729,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW36)",4.80567,0.09460,3.22383,0.08353,2.17355,1.67454,1.19256,0.49268,0.65626,-0.13282,-1.24209,-0.82477,-2.14499,-2.78013,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",4.61212,0.08226,2.75065,0.08561,2.03965,2.04185,0.29425,1.16404,-0.49052,-0.25873,-0.73967,-0.54894,-1.41590,-2.66398,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",5.64437,0.09200,3.11044,0.08545,2.49537,1.82359,0.71420,1.07382,0.25245,-0.55313,-0.82444,-1.08817,-1.18534,-3.20842,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",4.68045,0.08697,2.91195,0.08917,2.42231,1.75086,0.77075,0.44460,0.25936,-0.45125,-0.93922,-0.95173,-1.58076,-2.35387,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",4.95422,0.08540,2.85509,0.08494,2.55178,1.36125,1.21453,0.11351,0.37502,-0.31714,-1.14870,-1.05776,-1.22444,-2.48977,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",5.13656,0.08673,2.97840,0.09271,2.13971,2.02013,0.96855,-0.03607,0.08396,0.16873,-1.17621,-0.96427,-0.96975,-3.19040,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW36)",4.89032,0.09390,3.19556,0.09041,2.21667,1.92210,0.92810,0.31021,0.54667,0.00485,-1.09086,-0.99178,-2.00836,-2.81847,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",5.46582,0.08923,3.01018,0.07837,2.13526,1.90466,0.79903,0.66991,0.25587,0.31757,-1.14630,-0.66425,-1.33609,-3.40206,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",4.95162,0.08341,2.78580,0.08193,2.25958,2.03114,0.29297,0.65045,-0.19508,-0.07778,-0.71663,-0.74305,-1.28098,-2.81027,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",5.00775,0.07987,2.66326,0.07730,2.32809,1.78706,0.73718,0.04152,-0.06766,-0.14050,-0.49728,-1.11956,-0.88181,-2.77342,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",4.73413,0.08182,2.80153,0.08714,1.79950,2.15740,1.14363,-0.10801,-0.07331,-0.51407,-0.32415,-0.99138,-0.87795,-3.15975,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW36)",5.28807,0.09103,3.09038,0.08478,2.22691,1.91385,0.88319,0.35308,0.39384,-0.51043,-0.54778,-1.09886,-1.35807,-3.19961,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",5.58250,0.09533,3.21950,0.08184,2.27318,2.33988,0.78695,0.66897,-0.17749,-0.05942,-0.78932,-0.64095,-1.50735,-3.39871,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",5.55061,0.09030,3.04455,0.07728,2.41411,1.70044,1.23665,0.68702,-0.72094,0.20079,-0.54892,-0.98951,-1.22448,-3.21154,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",5.54486,0.09474,3.24852,0.08995,2.05784,2.56132,0.85795,0.46854,-0.49124,-0.00442,-0.94874,-0.44653,-1.32374,-3.66915,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",5.86389,0.10246,3.49608,0.08557,2.36950,2.15305,1.03285,0.91095,-0.08961,-0.05400,-0.85279,-0.78557,-1.96234,-3.62093,-1.05057
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",5.24566,0.08449,2.81996,0.08052,2.80591,1.45527,1.05844,0.08141,-0.37450,-0.16459,-0.75194,-0.53191,-1.59986,-2.52409,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",4.81421,0.08638,2.96244,0.09257,1.97918,2.50655,0.60414,0.03361,0.29043,-0.77377,-0.64934,-0.73257,-1.13740,-3.06820,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW36)",4.97288,0.09603,3.26456,0.08849,2.31793,2.51863,0.31121,0.70217,-0.19082,0.29040,-1.02956,-1.17446,-1.86801,-2.82940,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",4.61692,0.08197,2.80405,0.08663,1.74551,2.15473,0.87204,0.42004,-0.07017,-0.69951,-0.69687,-0.64332,-0.96441,-3.07157,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",5.44661,0.09297,3.15412,0.08383,2.59815,2.00319,0.91154,0.27421,-0.12736,-0.40509,-0.74070,-0.79519,-1.68998,-2.98209,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30,ROW36)",5.39482,0.09150,3.14134,0.09435,2.10304,2.14151,1.44509,-0.14296,-0.22566,-0.64402,-0.04176,-0.88267,-1.19921,-3.52360,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",4.57359,0.08082,2.72768,0.07916,1.96099,1.57638,1.01214,0.55132,0.32879,-0.65894,-0.45530,-0.81492,-1.38873,-2.68295,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",5.20502,0.08921,3.02088,0.08085,2.27222,1.62445,0.93943,1.24190,0.20007,-0.54871,-0.88951,-1.35278,-1.01583,-2.98791,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",4.58181,0.08402,2.83751,0.08149,2.14882,1.66038,0.80808,0.69627,0.21024,-0.30794,-1.02548,-0.86278,-1.39683,-2.50122,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",4.63895,0.08417,2.84068,0.07915,2.21286,1.69244,0.85636,0.59155,0.70210,-0.66519,-1.26001,-0.93749,-1.25224,-2.48852,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",5.10895,0.08707,2.98488,0.08806,2.16876,2.00525,0.57438,0.60663,-0.04108,-0.24175,-0.71681,-0.95158,-1.25132,-3.09297,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",4.48985,0.09157,3.12255,0.08505,1.90813,1.57165,1.37344,0.82756,0.45577,-0.39300,-0.84979,-1.02175,-2.07306,-2.71264,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",5.46418,0.08836,2.98827,0.07576,2.19946,1.43296,1.37505,0.96189,0.17774,-0.54854,-1.00117,-0.96121,-0.80148,-3.32427,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",4.89197,0.08281,2.79305,0.07652,2.17918,1.63822,0.51077,1.20209,0.00651,-0.78694,-0.42776,-0.90296,-1.14884,-2.78862,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",4.88890,0.08102,2.72988,0.07356,2.28358,1.54713,0.80879,0.73631,-0.35386,-0.40903,-0.25726,-0.80829,-1.39168,-2.68321,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",5.19223,0.08437,2.88701,0.08430,1.92890,1.86839,0.81518,0.46671,-0.22091,-0.28135,-0.20093,-0.84753,-1.01869,-3.46568,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",5.05708,0.09028,3.07396,0.08110,2.07526,1.43240,1.25644,0.95098,0.01012,-0.21272,-0.59590,-0.81745,-1.90584,-3.10137,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",5.29092,0.09292,3.14459,0.07811,2.37982,1.76759,0.98541,0.98520,0.21223,-0.39263,-1.18286,-0.99193,-1.29558,-2.97665,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",5.53067,0.09120,3.08400,0.07590,2.44735,1.95904,0.94746,0.69061,0.06406,-0.21997,-1.16734,-1.10464,-0.94702,-3.15611,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",5.68507,0.09559,3.27455,0.08610,2.12812,2.54217,0.91683,0.31139,-0.01199,-0.32109,-0.94230,-0.72096,-1.10625,-3.71115,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",5.54431,0.10014,3.41690,0.08189,2.28875,1.98014,1.02650,0.62697,0.82466,-0.16296,-1.36285,-0.71087,-2.04275,-3.36852,0.69258
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",4.91417,0.08539,2.87934,0.07636,2.40441,1.79182,0.72159,0.64280,0.03168,-0.45624,-0.83728,-0.89401,-1.36302,-2.58426,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",5.38233,0.08885,3.04350,0.08815,2.19833,2.06195,0.85866,0.24487,-0.34215,0.17926,-0.59030,-1.40571,-0.78093,-3.37729,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",4.80567,0.09460,3.22383,0.08353,2.17355,1.67454,1.19256,0.49268,0.65626,-0.13282,-1.24209,-0.82477,-2.14499,-2.78013,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",5.07427,0.08637,2.95385,0.08411,2.05461,2.03104,0.81115,0.18954,-0.20267,-0.10516,-0.19631,-1.17256,-1.15281,-3.16287,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",5.51150,0.09354,3.18376,0.08036,2.43807,1.91966,0.50796,0.77542,0.07786,0.15073,-0.82342,-1.23002,-1.54250,-3.17892,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",5.30324,0.09238,3.16767,0.09002,2.14357,2.33421,0.68973,0.02745,0.02598,0.10481,-0.35140,-1.15629,-1.42060,-3.34425,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",5.27526,0.08729,2.94791,0.08206,2.12005,1.67284,1.08650,0.91749,-0.10436,-0.10014,-0.73599,-0.92173,-1.19783,-3.23026,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",4.61212,0.08226,2.75065,0.08561,2.03965,2.04185,0.29425,1.16404,-0.49052,-0.25873,-0.73967,-0.54894,-1.41590,-2.66398,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",4.91269,0.08070,2.69455,0.08151,2.34552,1.25068,1.19236,0.41821,0.01643,-0.74752,-0.30924,-0.89054,-1.19930,-2.66420,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",4.61616,0.08229,2.82130,0.08822,1.84386,1.95443,0.92849,0.30533,0.01062,-0.23591,-0.65807,-0.70883,-1.38750,-2.98906,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW36)",4.94092,0.08953,3.04279,0.08724,2.08882,1.64338,1.07540,0.81826,0.13449,-0.54001,-0.65050,-0.25670,-2.28289,-2.98383,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",5.64437,0.09200,3.11044,0.08545,2.49537,1.82359,0.71420,1.07382,0.25245,-0.55313,-0.82444,-1.08817,-1.18534,-3.20842,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",5.09810,0.09022,3.04618,0.08175,2.26045,2.18968,0.84890,0.20643,0.48399,-0.13404,-1.08920,-1.23926,-1.10908,-2.90044,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",5.59860,0.09412,3.23121,0.09092,2.16851,2.04738,1.30841,-0.10061,0.60079,-0.26611,-0.94073,-1.01091,-1.17203,-3.57406,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW36)",5.81867,0.09961,3.40207,0.08792,2.32973,2.02953,0.78159,0.88644,0.55284,-0.14822,-0.85846,-1.29334,-1.60146,-3.58445,-1.05057
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",4.95422,0.08540,2.85509,0.08494,2.55178,1.36125,1.21453,0.11351,0.37502,-0.31714,-1.14870,-1.05776,-1.22444,-2.48977,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW30)",5.13656,0.08673,2.97840,0.09271,2.13971,2.02013,0.96855,-0.03607,0.08396,0.16873,-1.17621,-0.96427,-0.96975,-3.19040,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",4.89032,0.09390,3.19556,0.09041,2.21667,1.92210,0.92810,0.31021,0.54667,0.00485,-1.09086,-0.99178,-2.00836,-2.81847,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",4.86993,0.08425,2.88693,0.08814,1.98874,2.03530,0.60417,0.65981,-0.29423,-0.18206,-0.57406,-1.16610,-0.98694,-3.03121,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",5.20420,0.09314,3.16464,0.08683,2.32905,2.06039,0.54182,0.94492,-0.08449,-0.06568,-0.94886,-1.07715,-1.66258,-2.99234,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",5.24705,0.09128,3.13746,0.09419,2.16857,1.92842,1.19681,0.01478,0.19699,0.01132,-1.14658,-0.48359,-1.55711,-3.27585,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW24)",5.46582,0.08923,3.01018,0.07837,2.13526,1.90466,0.79903,0.66991,0.25587,0.31757,-1.14630,-0.66425,-1.33609,-3.40206,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26)",5.31502,0.08511,2.86667,0.07413,2.07005,2.08083,0.79412,0.65144,-0.40012,0.10931,-0.46014,-0.75006,-1.23032,-3.32388,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW30)",5.64238,0.08944,3.06199,0.08537,2.06637,1.89684,1.18022,0.37233,-0.22727,-0.15846,-0.49130,-0.57767,-1.24284,-3.75011,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",5.95463,0.09719,3.31229,0.08256,2.30565,1.62712,1.16521,0.83448,0.19834,-0.17970,-0.65867,-0.84709,-1.55822,-3.77453,-1.05057
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",5.00775,0.07987,2.66326,0.07730,2.32809,1.78706,0.73718,0.04152,-0.06766,-0.14050,-0.49728,-1.11956,-0.88181,-2.77342,0.54868
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",4.73413,0.08182,2.80153,0.08714,1.79950,2.15740,1.14363,-0.10801,-0.07331,-0.51407,-0.32415,-0.99138,-0.87795,-3.15975,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW36)",5.28807,0.09103,3.09038,0.08478,2.22691,1.91385,0.88319,0.35308,0.39384,-0.51043,-0.54778,-1.09886,-1.35807,-3.19961,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",4.76727,0.07860,2.68566,0.08226,1.65935,2.03586,1.33316,-0.16463,-0.28332,-0.46925,-0.14668,-0.50107,-1.08064,-3.28608,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",5.21526,0.08818,2.98841,0.08082,2.24199,1.94183,1.09587,0.23964,-0.38164,-0.02389,-0.35997,-1.35975,-1.21571,-3.10493,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30,ROW36)",5.34387,0.08739,2.99605,0.08965,1.98396,1.92023,1.26795,0.29288,-0.40135,-0.27543,-0.34449,-0.69096,-1.10591,-3.58859,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",5.55061,0.09030,3.04455,0.07728,2.41411,1.70044,1.23665,0.68702,-0.72094,0.20079,-0.54892,-0.98951,-1.22448,-3.21154,-0.71018
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW30)",5.54486,0.09474,3.24852,0.08995,2.05784,2.56132,0.85795,0.46854,-0.49124,-0.00442,-0.94874,-0.44653,-1.32374,-3.66915,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",5.86389,0.10246,3.49608,0.08557,2.36950,2.15305,1.03285,0.91095,-0.08961,-0.05400,-0.85279,-0.78557,-1.96234,-3.62093,-1.05057
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",5.84195,0.08977,3.07118,0.08477,2.19369,1.81740,1.25051,0.34822,-0.08858,-0.58862,-0.18813,-0.81746,-1.03750,-3.78631,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",6.35905,0.09922,3.37944,0.08175,2.78341,1.95736,1.11811,0.28686,-0.07613,-0.18387,-0.55043,-1.14746,-1.38324,-3.68716,-1.05057
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30,ROW36)",5.93179,0.09885,3.39386,0.09210,2.08132,2.24907,1.63563,0.08381,-0.40756,-0.23273,-0.15646,-0.87833,-1.25341,-4.03748,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",4.61692,0.08197,2.80405,0.08663,1.74551,2.15473,0.87204,0.42004,-0.07017,-0.69951,-0.69687,-0.64332,-0.96441,-3.07157,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",5.44661,0.09297,3.15412,0.08383,2.59815,2.00319,0.91154,0.27421,-0.12736,-0.40509,-0.74070,-0.79519,-1.68998,-2.98209,-0.05647
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30,ROW36)",5.39482,0.09150,3.14134,0.09435,2.10304,2.14151,1.44509,-0.14296,-0.22566,-0.64402,-0.04176,-0.88267,-1.19921,-3.52360,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",5.12126,0.08859,3.03477,0.08954,2.06573,2.18997,1.13507,0.25613,-0.29062,-0.88161,-0.33643,-0.28853,-1.56310,-3.22595,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",5.00086,0.08591,2.90742,0.07847,2.02804,1.26200,1.61784,0.89995,0.12909,-0.44078,-0.73315,-1.16022,-1.08391,-3.03911,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",4.57359,0.08082,2.72768,0.07916,1.96099,1.57638,1.01214,0.55132,0.32879,-0.65894,-0.45530,-0.81492,-1.38873,-2.68295,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",4.71636,0.08051,2.71493,0.07646,2.16963,1.34720,0.97023,0.98076,0.00414,-0.65449,-0.77317,-0.63231,-1.34828,-2.61774,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",5.07335,0.08354,2.86054,0.08491,1.98851,1.64464,0.71884,0.82450,-0.21438,-0.29553,-0.35556,-0.75673,-1.22708,-3.25527,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW36)",4.58973,0.08832,3.00964,0.08308,1.83645,1.40049,1.60334,0.47839,0.46227,-0.31890,-0.72742,-0.66637,-2.10296,-2.87280,1.97947
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)",5.20502,0.08921,3.02088,0.08085,2.27222,1.62445,0.93943,1.24190,0.20007,-0.54871,-0.88951,-1.35278,-1.01583,-2.98791,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",5.16273,0.08942,3.02659,0.07875,2.26104,1.59837,1.52174,0.83645,0.15415,-0.63843,-1.16345,-1.08165,-1.02107,-2.95975,-0.81230
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",5.65368,0.09341,3.20194,0.08659,2.29494,1.92938,1.02424,0.52495,0.27863,-0.32607,-0.96353,-1.19900,-1.02379,-3.46832,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW36)",5.10042,0.09651,3.29526,0.08396,1.93794,1.83363,1.42023,0.97592,0.25836,-0.06625,-0.92993,-1.32022,-1.73193,-3.25313,0.69258
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",4.63895,0.08417,2.84068,0.07915,2.21286,1.69244,0.85636,0.59155,0.70210,-0.66519,-1.26001,-0.93749,-1.25224,-2.48852,-0.10839
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW30)",5.10895,0.08707,2.98488,0.08806,2.16876,2.00525,0.57438,0.60663,-0.04108,-0.24175,-0.71681,-0.95158,-1.25132,-3.09297,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW36)",4.48985,0.09157,3.12255,0.08505,1.90813,1.57165,1.37344,0.82756,0.45577,-0.39300,-0.84979,-1.02175,-2.07306,-2.71264,1.97947
