Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,3.06399,0.07189,2.08389,0.10252,1.81436,2.32980,1.06964,0.41972,0.18316,-0.44401,0.15280,-0.66305,-1.34886,-1.43178,-0.83783
IQS Decile,3.06313,0.07025,2.03114,0.10303,1.95162,2.23716,0.97858,0.79890,0.76884,-0.07097,-0.20356,-0.72027,-0.93068,-1.23303,-0.83783
AFG Investment Grade,2.26105,0.04748,1.51426,0.06278,0.90774,0.66040,-0.29196,-0.52114,-1.39178,#N/A,#N/A,#N/A,#N/A,#N/A,0.73624
AFG CO Grade Scaled,2.47022,0.05026,1.60214,0.06233,0.94300,0.65584,-0.29018,-0.38314,-1.56068,#N/A,#N/A,#N/A,#N/A,#N/A,0.73624
% Tgt Average,2.50546,0.04577,1.43050,0.06958,1.91151,0.25984,0.65793,-0.20276,0.40437,-0.14342,-0.28246,-0.36913,-1.15136,-0.64932,-1.22533
% Tgt +0,5.31248,0.10164,3.29778,0.06865,3.61176,1.44935,0.25442,0.53825,-0.36291,-0.71793,-0.99029,-1.50754,-2.02777,-1.86516,0.58914
% Tgt +3 SectRank,2.31910,0.04721,1.52504,0.08671,0.70119,0.49561,0.24444,0.29137,0.13439,0.01826,0.37049,-0.61886,-1.70719,-1.68070,0.80402
Fin Sust,4.85059,0.07448,1.91901,0.07958,3.67964,2.67275,1.74659,1.58619,0.99468,1.46081,2.21243,-0.09242,-0.50241,-1.24928,-1.87570
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.06841
Economic Margin Momentum,1.13227,0.02729,0.87347,0.04221,-0.12335,0.44465,-0.14333,-0.28264,-1.26593,#N/A,#N/A,#N/A,#N/A,#N/A,0.88126
Earnings Quality Decile,2.54029,0.03191,0.82340,0.08789,0.76322,1.31365,0.08661,0.15338,0.23657,0.86198,0.26483,-0.32128,0.70965,-2.08910,-0.47458
Price to 52 Week High,2.12734,0.03279,1.12639,0.11894,0.29436,0.59187,-0.22785,0.82289,0.16866,0.04388,0.52738,-0.51695,-0.52750,-2.19154,#N/A
EBITDA/EV,-4.94595,-0.07758,-2.25735,0.09840,-2.14688,-1.80670,-0.57627,0.08353,0.11720,0.86062,0.39350,1.19814,1.78166,2.69093,-1.02540
