Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,0.93308,0.04217,1.42299,0.10261,-2.26157,-0.20907,-0.97818,-0.51503,-1.06716,-0.69686,-1.23400,-1.73943,-1.93538,-3.26531,-3.20645
IQS Decile,1.35424,0.04195,1.41161,0.10047,-1.99004,-0.43501,-0.63675,-0.52853,-0.69348,-0.53266,-0.92912,-1.36759,-1.11529,-3.39093,-3.20645
AFG Investment Grade,2.91581,0.03286,1.03364,0.05634,0.39379,-0.50588,-0.71743,-0.96224,-2.65218,#N/A,#N/A,#N/A,#N/A,#N/A,-1.94378
AFG CO Grade Scaled,2.51468,0.02968,0.94081,0.04975,0.01644,-0.66643,-0.55176,-0.70179,-2.53849,#N/A,#N/A,#N/A,#N/A,#N/A,-1.93687
% Tgt Average,7.42568,0.07244,2.26230,0.09775,3.40054,1.16568,0.10002,-0.39071,-1.97901,-1.15246,-1.35145,-1.90236,-2.59062,-4.25546,-3.92218
% Tgt +0,7.96126,0.08433,2.67629,0.06237,2.66255,0.81861,-0.22693,-0.32324,-0.90993,-0.98131,-1.63268,-1.39813,-2.57316,-5.58115,-1.96312
% Tgt +3 SectRank,2.87422,0.03461,1.06788,0.07661,0.81312,0.36165,0.05654,-1.12381,-1.35568,-1.70467,-1.54799,-1.84034,-1.19063,-2.33204,-2.05013
Fin Sust,4.76162,0.08309,2.31752,0.12013,3.31943,1.82671,2.11272,1.45000,1.90538,1.66582,0.53985,0.52538,-1.20131,-2.38470,-6.65388
RONA,-3.92633,-0.02420,-0.79153,0.10153,-1.73700,0.02820,1.23115,-1.05846,-0.52149,-0.98859,-1.40531,1.19001,1.25057,1.98817,-1.42203
Economic Margin Momentum,1.83967,0.03060,0.99098,0.08215,-0.13697,-1.02208,-0.64194,-0.81742,-2.08279,#N/A,#N/A,#N/A,#N/A,#N/A,-2.01433
Earnings Quality Decile,1.37353,0.02392,0.63349,0.05110,-0.12643,0.86111,-0.52060,0.33306,0.12746,-0.89425,0.05813,-0.40794,-0.46286,-1.70317,-2.34156
Price to 52 Week High,-5.86003,0.01271,0.45119,0.20163,-2.54191,-1.92588,-1.46324,-1.99389,-1.15078,-1.10062,-0.94222,-0.24645,-0.63671,-0.67015,#N/A
EBITDA/EV,-2.92973,-0.03287,-0.95671,0.07894,-1.57514,-0.46703,0.56967,-0.12432,0.18157,-0.41106,-0.04601,0.34158,0.82619,1.09258,-4.06677
 Sector    Name,-3.28077,#N/A,#N/A,#N/A,-1.82254,1.51998,0.63516,-4.32295,0.13473,-0.01634,0.06393,2.48410,0.52101,-1.23138,#N/A
POE Screen,-0.69507,0.00896,0.27663,0.04253,0.08814,0.72811,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.27823
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",5.91192,0.07947,2.64227,0.07604,1.63877,0.51203,0.27989,0.34083,-0.82671,-0.49500,-1.50938,-2.24840,-3.39084,-4.50635,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18)",4.33270,0.06638,2.20002,0.07227,0.77848,0.18510,0.37499,-0.04419,-0.89528,-0.32615,-1.04373,-2.40326,-3.17490,-3.70302,-4.35965
