Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",4.47886,0.06202,2.06834,0.07039,0.43584,0.18521,0.41047,-0.47428,-0.46351,-0.81045,-1.14575,-1.99904,-2.17393,-4.18962,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",6.16677,0.08186,2.72959,0.08465,0.57578,0.11431,0.37791,0.29051,0.65970,-0.45898,-1.28689,-1.60905,-2.71963,-5.77207,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",4.61479,0.06607,2.20416,0.07847,0.53393,-0.33544,0.31246,0.04389,0.43051,-1.22371,-0.97032,-2.52882,-2.25498,-4.27030,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",4.16178,0.06437,2.15866,0.08134,0.21901,-0.35918,0.52368,0.11445,-0.22081,-0.87242,-1.03717,-1.99236,-2.51348,-4.10865,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30)",1.74023,0.05808,1.99515,0.11091,-1.38650,-0.35445,-0.34162,0.49931,-0.47894,-0.41987,-1.25120,-1.45022,-2.17719,-3.78817,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW36)",5.53649,0.07129,2.39327,0.07791,0.67357,-0.54883,0.72906,-0.02511,-0.08409,-0.88920,-0.89243,-1.97461,-2.44574,-5.07339,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",5.69791,0.07434,2.46252,0.07593,1.46764,0.97118,0.07461,-0.32210,-0.71945,-0.90735,-0.92364,-2.63731,-2.73728,-4.47364,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",5.56119,0.07253,2.41157,0.07126,1.13818,0.78178,0.17742,-0.32397,-0.59002,-0.50974,-1.27421,-2.26129,-2.65627,-4.62524,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",6.80514,0.09084,3.02353,0.08547,1.50040,0.45929,0.49620,0.10955,0.53618,-0.62013,-1.19986,-2.09965,-3.67981,-5.51155,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24)",5.65565,0.07800,2.59243,0.07851,1.54998,0.50696,-0.02195,0.47015,-0.72550,-0.59942,-1.45257,-2.11640,-3.47672,-4.36065,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",5.68025,0.07696,2.56697,0.07829,1.19390,0.10730,0.50446,0.33726,-0.35750,-0.76705,-1.21063,-1.98142,-3.31279,-4.69320,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",3.50802,0.07241,2.45846,0.09304,-0.28737,0.14255,0.27635,-0.03690,-0.17708,-0.21410,-0.85619,-2.67011,-2.90995,-4.24270,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW36)",6.30043,0.08082,2.70218,0.07880,1.36830,0.25744,0.64230,-0.24855,-0.66802,-0.27629,-0.97321,-2.05513,-3.40340,-5.16983,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",4.24305,0.06116,2.02861,0.06864,0.43071,0.58780,0.01792,-0.08024,-1.32239,-0.44817,-1.08052,-1.56275,-2.81630,-3.93353,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",5.64537,0.07793,2.58518,0.08289,0.97641,0.07562,0.34316,-0.15899,0.38159,-0.09739,-1.17324,-2.24339,-3.12385,-4.86858,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24)",4.21882,0.06518,2.15950,0.07483,0.71908,0.11434,0.25185,-0.00139,-0.85196,-0.27266,-1.09807,-2.36471,-3.10011,-3.65908,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",4.27780,0.06460,2.15105,0.07644,0.57483,0.06156,0.34446,-0.40055,-0.32064,-0.71976,-1.32708,-1.38017,-3.23305,-3.83509,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30)",2.20462,0.06006,2.04323,0.09446,-0.74511,-0.48040,0.24518,0.32579,-0.72141,-0.21094,-1.34013,-1.85068,-2.80894,-3.46731,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW36)",5.09674,0.06911,2.30638,0.07540,0.82287,0.09451,-0.18767,0.26096,-1.05656,0.12272,-1.28260,-1.51005,-3.33385,-4.44107,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21)",5.26440,0.07434,2.47593,0.07919,0.26115,0.22232,0.35769,0.22312,-0.09194,-0.23377,-0.85426,-1.63036,-2.94053,-5.17590,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",4.19594,0.06090,2.03086,0.07277,0.28575,0.17428,0.34726,-0.44873,-0.40917,-0.73617,-1.30178,-1.58233,-2.48560,-4.08086,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",4.01861,0.05976,2.00015,0.07434,0.13207,-0.06862,0.32731,-0.37261,-0.02835,-1.26435,-0.49860,-1.99990,-2.44902,-4.00578,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",1.94590,0.05561,1.90343,0.09889,-1.26686,-0.12904,0.01415,-0.08910,-0.45507,-0.80574,-0.34374,-1.91478,-2.28821,-3.72563,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW36)",5.35278,0.06637,2.22683,0.07397,0.47236,0.24716,-0.35177,0.18102,-0.64194,-0.28488,-1.21862,-1.34747,-2.48080,-5.05214,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",5.90588,0.08041,2.68073,0.08731,0.50582,0.06556,0.21667,0.40462,0.64394,-0.38937,-1.18780,-1.76426,-2.73813,-5.60357,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26)",5.32823,0.07828,2.61950,0.08948,0.28138,-0.43493,0.56827,0.81416,0.03359,-0.08140,-0.85891,-2.12570,-2.83271,-5.23305,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",3.54205,0.07403,2.53021,0.11089,-1.04677,-0.25708,-0.02187,0.31333,-0.00848,-0.15076,-0.16367,-1.80489,-2.97885,-5.00821,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",6.54224,0.08287,2.77773,0.08623,0.69829,-0.21340,0.46783,0.40720,0.22006,-0.07245,-1.58455,-1.45282,-2.73525,-6.09976,-8.96200
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",4.00064,0.06311,2.11606,0.08359,0.23787,-0.61479,0.39855,0.28873,-0.12096,-0.91777,-1.08947,-1.80750,-2.68646,-3.94060,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30)",1.66451,0.05694,1.95559,0.11289,-1.38505,-0.29630,-0.53556,0.37735,-0.40909,-0.47492,-0.99690,-1.45325,-2.25750,-3.72692,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW36)",5.40234,0.06997,2.34817,0.08035,0.60612,-0.60492,0.67699,0.06770,-0.24312,-0.81083,-0.74816,-2.26966,-2.19483,-5.02009,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30)",1.81908,0.05698,1.96071,0.11300,-1.24809,-1.07539,0.58020,-0.17886,-0.33860,-0.55231,-0.45526,-1.50403,-2.81672,-3.55018,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",4.78732,0.06920,2.33048,0.08165,-0.12422,0.37203,-0.17620,0.31032,0.06503,-0.74371,-1.19628,-1.32453,-2.66660,-5.06323,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW30,ROW36)",2.63572,0.06220,2.13245,0.10507,-1.25147,0.06418,-0.15671,0.36094,-0.46301,-0.41626,-1.01281,-1.89393,-1.93748,-4.34855,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",5.52402,0.06935,2.29822,0.07187,1.23693,1.11013,-0.09900,-0.43175,-0.98709,-0.93564,-0.80528,-1.91442,-2.83173,-4.48292,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21)",6.52195,0.08419,2.79265,0.08506,1.41193,0.51165,0.59407,0.01594,-0.34591,-0.43138,-1.04610,-1.99922,-3.37780,-5.37553,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24)",5.65508,0.07328,2.42659,0.07788,1.46999,0.74867,0.14461,-0.40218,-0.58319,-0.88256,-1.00082,-2.53403,-2.74264,-4.43814,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",5.60236,0.07376,2.45038,0.07720,1.20535,0.84404,0.08252,-0.24383,-0.64064,-0.93035,-0.90200,-1.90457,-3.03440,-4.60449,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",3.70716,0.06992,2.35853,0.08301,-0.19591,0.58125,0.26178,-0.09593,-0.70939,-0.17315,-1.40065,-2.00242,-2.92135,-4.26086,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",6.19946,0.07597,2.53118,0.07849,1.42943,0.33825,0.60797,-0.59845,-0.62960,-0.74135,-0.64697,-2.30137,-2.89704,-5.05408,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21)",6.70656,0.08292,2.75788,0.08002,1.43269,0.29592,0.23326,0.08738,0.13590,-0.31389,-1.27852,-1.71835,-3.31710,-5.53820,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",5.46536,0.07144,2.37488,0.07339,1.11659,0.62690,0.15395,-0.33796,-0.42541,-0.59818,-1.24246,-2.14810,-2.71962,-4.57337,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",5.54025,0.07051,2.35028,0.07308,1.28166,-0.00060,0.36266,-0.13445,-0.87970,-0.25213,-0.95353,-1.92092,-3.17477,-4.45011,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW30)",4.16605,0.06704,2.27242,0.08584,-0.13355,-0.05680,0.44869,-0.37902,-0.31858,-0.39717,-0.79073,-2.12688,-2.50569,-4.61062,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",6.00109,0.07492,2.50484,0.07496,0.96402,0.72061,0.12427,-0.22576,-0.60500,-0.31586,-0.81096,-2.04244,-3.03040,-5.25198,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",6.57456,0.08939,2.97408,0.08772,1.41290,0.35257,0.52078,0.10306,0.40722,-0.39308,-1.27636,-2.06713,-3.70671,-5.38956,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",6.60607,0.08806,2.93855,0.08760,1.33013,-0.17265,0.80692,0.35135,0.36651,-0.23646,-1.19221,-2.27785,-3.43830,-5.54509,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",5.17082,0.08491,2.87735,0.09758,0.01682,-0.06388,0.20942,0.38838,0.37816,-0.03287,-0.80092,-2.19446,-3.37667,-5.47181,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",7.08518,0.09041,3.02272,0.08721,1.33144,0.58456,0.21977,0.14561,0.10230,0.03686,-1.10353,-2.03634,-3.70720,-6.00391,-11.31910
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",5.67553,0.07576,2.52635,0.08037,1.19049,-0.13718,0.48516,0.31271,-0.23325,-0.61326,-1.32529,-1.94953,-3.22122,-4.69699,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",3.51975,0.07125,2.41835,0.09515,-0.31685,0.08146,0.22449,-0.13899,-0.22511,-0.20541,-0.63448,-2.62167,-2.86980,-4.29420,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",6.14578,0.07956,2.65889,0.08086,1.29076,0.26731,0.59945,-0.22026,-0.80282,-0.25483,-0.87548,-2.11640,-3.31874,-5.11236,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",3.70851,0.07032,2.39442,0.09773,-0.38591,-0.27535,-0.20231,0.73577,-0.20747,-0.17816,-0.72825,-2.01591,-3.25604,-4.42564,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",5.64835,0.07951,2.66490,0.08061,0.76337,0.78589,-0.14355,0.34955,-0.34363,-0.16175,-1.38722,-2.00758,-3.23209,-5.08151,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.17862,0.07386,2.50588,0.09076,-0.03708,-0.12785,0.14982,0.52016,0.02098,-0.63181,-1.32719,-1.69724,-3.26456,-4.54039,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",5.65011,0.07176,2.38018,0.07844,0.79864,0.15846,-0.01596,0.29933,-0.20112,-0.50673,-0.92465,-1.37202,-3.01396,-5.03301,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",4.13725,0.06024,1.99773,0.07076,0.36896,0.45793,0.00998,-0.14001,-1.09155,-0.50028,-1.05318,-1.49917,-2.88059,-3.89656,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",4.59205,0.06004,1.99864,0.07160,0.67113,0.10778,0.02348,-0.32497,-0.86510,-0.48399,-1.28580,-1.30669,-2.66875,-4.06841,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",2.90427,0.05634,1.91402,0.08740,-0.55790,-0.20989,-0.08863,0.28329,-1.00650,-0.46101,-1.53580,-1.08574,-2.40499,-3.82569,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW36)",4.89556,0.06483,2.16466,0.07243,0.40679,0.47653,-0.33874,0.01652,-0.64983,-0.78700,-0.64056,-1.50359,-2.84159,-4.61878,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",5.55002,0.07683,2.54802,0.08513,0.87618,0.00357,0.30256,-0.00814,0.36230,-0.12987,-1.13954,-2.17557,-3.10337,-4.88057,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",5.40143,0.07595,2.52799,0.08626,0.58229,-0.01410,0.35481,0.42805,0.10899,-0.39913,-1.11769,-2.06424,-2.70889,-5.02697,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",3.82895,0.07297,2.47499,0.09839,-0.57302,-0.26868,0.08292,0.19794,0.17616,-0.01316,-1.07398,-1.81272,-2.97398,-4.77487,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW36)",5.99008,0.07886,2.63116,0.08490,0.81537,0.01498,-0.03973,0.11509,0.34066,-0.15422,-0.79318,-2.00493,-3.27191,-5.38832,-8.96200
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",4.29240,0.06353,2.11487,0.07854,0.55204,-0.16530,0.34924,-0.33366,-0.24566,-0.65578,-1.37145,-1.45406,-3.05001,-3.88050,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW30)",1.95984,0.05919,2.01312,0.09637,-0.90495,-0.34081,0.12036,0.28378,-0.58211,-0.33188,-1.20728,-1.80973,-2.88953,-3.39875,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",4.98254,0.06813,2.27316,0.07745,0.70364,0.03054,0.00616,0.11215,-0.99916,0.06863,-1.17612,-1.69920,-3.10401,-4.45403,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",2.22661,0.05899,2.01363,0.09940,-1.17905,-0.07447,0.00405,0.07661,-0.60333,-0.28173,-0.77118,-1.85687,-2.56793,-3.75154,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",4.94716,0.06852,2.29466,0.07840,0.36239,0.39680,-0.14461,0.19855,-0.79791,-0.35391,-1.13370,-1.35218,-2.95307,-4.74209,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",3.19593,0.06301,2.14174,0.09166,-0.47376,-0.40810,-0.09963,0.41091,-0.39172,-0.73496,-0.80707,-1.32263,-3.11941,-4.00782,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW24)",4.99577,0.07326,2.43975,0.08133,0.19000,0.15610,0.33534,0.20974,0.09763,-0.37447,-0.85048,-1.34112,-3.29086,-4.99571,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26)",5.20669,0.07174,2.39631,0.08240,0.40409,-0.42817,0.70602,0.43529,-0.35487,-0.65490,-0.69478,-1.50779,-2.80620,-4.98777,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW30)",3.61837,0.06898,2.34942,0.10022,-0.91274,-0.15499,0.12261,-0.25204,0.22897,-0.70261,0.05270,-1.47668,-2.98139,-4.91511,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",6.15737,0.07668,2.56780,0.08170,0.62870,-0.07942,0.30532,0.16481,-0.24929,0.16290,-1.39543,-1.10457,-3.02100,-5.75118,-8.96200
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",3.93793,0.05883,1.96932,0.07629,0.08937,-0.25215,0.33248,-0.28202,-0.00615,-1.16817,-0.66428,-1.83017,-2.47699,-3.97072,-4.35965
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",1.74424,0.05476,1.87389,0.10059,-1.29455,-0.11504,-0.16363,-0.23786,-0.18788,-0.83667,-0.37590,-1.68747,-2.54339,-3.57074,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW36)",5.00742,0.06545,2.19578,0.07598,0.37560,0.22430,-0.20879,-0.07702,-0.52989,-0.23331,-1.19903,-1.37905,-2.63019,-4.83734,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",1.98249,0.05440,1.86498,0.10136,-1.14548,-0.48745,-0.02233,-0.22892,-0.05706,-0.64604,-0.79065,-1.20364,-2.82728,-3.61264,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",4.73853,0.06476,2.17768,0.07628,0.14256,0.12203,-0.05414,0.19466,-0.34734,-0.93252,-0.99282,-1.33039,-2.47607,-4.79057,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30,ROW36)",2.88152,0.05950,2.03383,0.09609,-1.07642,-0.03970,-0.03471,0.03916,-0.07609,-1.08916,-0.54695,-1.57599,-2.34625,-4.24340,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",5.05343,0.07710,2.57998,0.09151,0.13474,-0.41800,0.56004,0.91921,-0.00129,-0.19770,-0.84803,-1.96429,-2.94237,-5.12995,-8.26222
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW30)",3.40760,0.07293,2.49211,0.11282,-1.05208,-0.20850,-0.20270,0.22105,0.06749,-0.14055,-0.18942,-1.55667,-3.17064,-4.90055,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",6.45977,0.08163,2.73564,0.08844,0.70451,-0.27552,0.36801,0.34230,0.29980,-0.06613,-1.38725,-1.71112,-2.61387,-6.02599,-8.96200
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",3.43797,0.07156,2.45004,0.11366,-1.07177,-0.13937,-0.51898,0.59308,-0.20083,-0.21342,0.00307,-1.57641,-3.10751,-4.87788,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",5.71433,0.08055,2.70700,0.08965,0.05696,-0.34981,0.77339,0.60676,0.37390,-0.56774,-0.73115,-1.90647,-2.77242,-5.87393,-8.96200
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30,ROW36)",3.85710,0.07537,2.57164,0.10572,-0.85349,-0.29306,0.01488,0.52013,-0.04835,0.08521,-0.74686,-1.80088,-2.81975,-5.09427,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",1.97665,0.05608,1.92976,0.11457,-1.19705,-1.14926,0.37055,-0.12445,-0.23068,-0.47146,-0.66999,-1.37810,-2.63729,-3.65978,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",4.69124,0.06820,2.29653,0.08360,-0.14550,0.37347,-0.29006,0.19120,0.12497,-0.68602,-1.13474,-1.38304,-2.61498,-4.99744,-4.43460
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30,ROW36)",2.51934,0.06125,2.09938,0.10687,-1.23972,-0.10796,-0.13016,0.51208,-0.56288,-0.66166,-0.78130,-1.70846,-2.14287,-4.23829,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",2.81325,0.06155,2.11271,0.10757,-1.04989,-0.92141,0.24093,0.21612,-0.13573,-0.67958,-0.51998,-1.63491,-2.39214,-4.19098,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",6.02394,0.07842,2.60053,0.08031,0.98449,1.05021,0.14216,0.04078,-0.66340,-0.82250,-0.69093,-1.54728,-3.17332,-5.27457,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",5.44945,0.06851,2.26986,0.07357,1.16773,0.90620,-0.01448,-0.42212,-0.96464,-0.73844,-0.91492,-1.89743,-2.78961,-4.48909,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",5.72643,0.06862,2.27919,0.07280,1.16421,0.58475,0.02545,-0.40124,-0.78222,-0.73556,-0.61322,-1.91237,-2.70414,-4.74633,-6.65000
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",3.56055,0.06527,2.20094,0.07876,-0.19510,0.35318,0.53185,-0.25507,-1.04755,-0.38110,-1.00309,-1.90075,-2.93258,-4.07149,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW36)",6.20587,0.07168,2.38896,0.07533,1.26408,0.11782,0.63598,-0.42723,-0.79154,-0.89597,-0.78521,-1.64899,-2.70937,-5.20860,-10.29938
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)",6.45286,0.08315,2.75737,0.08688,1.36540,0.42502,0.70192,-0.15213,-0.25034,-0.52387,-0.91971,-1.96964,-3.35516,-5.36453,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",6.48871,0.08347,2.77550,0.08639,1.31608,0.36257,0.38414,0.18386,-0.16833,-0.36628,-1.33358,-1.78350,-3.17074,-5.43035,-8.99660
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",5.05025,0.08066,2.71861,0.08970,0.06806,0.39999,0.45642,-0.10153,0.12886,-0.48898,-0.98433,-1.92533,-3.19309,-5.27679,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW36)",7.17004,0.08451,2.81683,0.08698,1.42159,0.44722,0.09835,0.10500,-0.48328,-0.16866,-0.62837,-2.05193,-3.11878,-6.07445,-11.31910
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",5.56739,0.07278,2.41722,0.07894,1.11829,0.63542,0.17748,-0.24110,-0.50042,-0.87475,-1.01663,-1.93118,-2.83244,-4.67317,-6.65000
