Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,13.53425,0.14754,4.74759,0.13970,4.69583,4.02181,3.80297,2.71966,2.58475,1.88649,-0.02871,-0.47547,-3.29390,-10.22313,-5.37392
IQS Decile,0.57156,0.03318,0.89244,0.08468,4.52830,4.40007,4.21240,3.63175,4.63044,3.40801,4.15500,2.71208,3.10007,3.06225,-6.27158
AFG Investment Grade,7.64932,0.10179,3.17838,0.09236,3.75751,2.31391,1.21019,-0.34081,-4.18398,#N/A,#N/A,#N/A,#N/A,#N/A,-5.71151
AFG CO Grade Scaled,7.91780,0.10856,3.40294,0.09617,3.51820,2.85329,1.27154,-0.41220,-4.73030,#N/A,#N/A,#N/A,#N/A,#N/A,-5.71151
% Tgt Average,17.99008,0.24573,7.02496,0.11726,13.15140,8.43355,6.46899,5.79472,4.10960,2.60945,1.83963,-0.24080,-2.87268,-5.55668,-7.74168
% Tgt +0,16.03160,0.17380,5.59403,0.11280,5.43689,3.51908,3.47770,2.82215,1.97856,2.04202,1.00302,-0.80120,-3.79245,-12.04308,-5.61120
% Tgt +3 SectRank,8.24518,0.08377,2.63607,0.08473,0.91728,2.75268,2.57240,2.76620,2.35291,2.22385,1.42623,-0.15257,-2.46649,-7.73312,-5.86661
Fin Sust,-2.70779,-0.04141,-0.97548,0.11523,1.51568,2.66940,2.94191,2.13679,2.71793,4.13924,2.40593,2.71672,2.57135,3.88289,-2.72869
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03893
Economic Margin Momentum,2.55419,0.03755,1.19018,0.08805,0.10210,1.69436,1.05007,0.92409,-2.67338,#N/A,#N/A,#N/A,#N/A,#N/A,-5.52001
Earnings Quality Decile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03893
Price to 52 Week High,11.73791,0.14555,5.11743,0.21743,2.48608,2.04649,2.12308,2.90149,3.00154,2.21163,1.49873,-0.44448,-5.14958,-14.03869,#N/A
EBITDA/EV,-13.70125,-0.14784,-4.07644,0.17710,-10.50674,-4.88211,-0.42042,0.37316,0.99546,1.07093,2.88595,2.63746,2.72460,2.35886,0.17646
 Sector    Name,-1.86305,#N/A,#N/A,#N/A,0.63767,1.59616,2.17589,4.02539,-1.01439,-0.01134,-8.24982,0.05115,-19.29728,1.37187,#N/A
POE Screen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03893
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",18.25481,0.20451,6.97418,0.13604,6.13535,4.35513,4.32993,3.34154,2.64694,1.54394,0.12159,-2.00555,-5.27882,-14.07254,-19.56105
